都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|700,340|2,972,556|36,781|4|662,961|2,504
青森|149,065|399,866|10,984|0|137,820|261
岩手|100,304|433,328|4,743|3|95,385|176
宮城|243,107|861,514|21,695|5|204,624|350
秋田|90,584|73,249|17,739|1|72,655|190
山形|94,822|243,982|7,309|0|87,345|178
福島|171,341|1,114,921|10,466|1|160,624|251
茨城|340,506|1,654,084|20,475|8|301,424|627
栃木|209,490|929,096|14,652|5|194,377|461
群馬|217,173|858,861|11,957|2|207,115|455
埼玉|1,124,638|3,814,861|29,608|17|1,092,779|2,251
千葉|895,523|2,764,314|37,084|13|834,872|2,408
東京|3,042,647|9,105,951|89,842|32|2,947,169|5,636
神奈川|1,417,537|4,487,314|35,037|34|1,379,601|2,899
新潟|215,896|914,205|9,971|3|205,794|131
富山|119,431|347,441|8,001|0|111,266|164
石川|150,759|731,078|8,126|1|142,347|263
福井|105,615|440,509|4,212|0|101,309|94
山梨|89,739|499,562|4,347|1|85,276|140
長野|191,003|986,062|8,874|1|180,663|320
岐阜|275,455|1,240,885|12,185|6|261,354|537
静岡|460,618|1,740,667|18,856|3|433,267|707
愛知|1,284,901|3,918,580|62,013|25|1,220,133|2,755
三重|234,733|784,998|10,351|3|226,621|491
滋賀|218,007|916,769|10,957|5|206,750|300
京都|454,719|1,170,745|32,551|59|419,258|969
大阪|2,009,334|9,407,132|92,028|55|1,911,065|6,241
兵庫|958,828|2,385,886|32,121|19|923,951|2,763
奈良|214,460|711,332|51,353|4|162,598|509
和歌山|125,129|306,594|4,158|4|120,429|233
鳥取|58,497|677,257|9,311|4|44,778|67
島根|76,853|345,574|6,558|1|70,208|87
岡山|255,045|802,467|17,566|4|228,698|386
広島|396,601|2,573,285|59,812|7|336,089|700
山口|152,485|800,588|5,979|2|146,145|361
徳島|87,507|280,288|3,794|5|83,568|159
香川|132,466|389,804|6,871|3|125,324|271
愛媛|151,449|599,458|7,119|2|144,048|282
高知|93,450|465,217|9,098|7|84,076|276
福岡|1,038,813|3,816,130|49,958|13|969,678|1,850
佐賀|149,983|377,021|12,997|1|125,171|210
長崎|202,198|709,061|22,685|3|177,499|311
熊本|311,512|522,511|19,174|10|291,749|589
大分|166,511|861,519|5,182|3|161,007|322
宮崎|184,164|236,241|8,583|8|174,582|331
鹿児島|282,187|719,688|10,166|9|269,680|494
沖縄|489,591|1,159,430|9,713|16|478,807|669
その他（その他）|149|0|0|0|149|0
合計|20,135,165|71,551,881|983,042|412|19,002,088|42,629
