都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|656,283|2,881,466|50,588|5|604,437|2,429
青森|137,990|366,174|17,786|0|119,975|229
岩手|92,301|414,437|9,559|2|82,577|165
宮城|227,909|835,218|24,898|11|200,600|307
秋田|82,679|72,420|20,273|3|62,320|86
山形|84,026|233,709|15,087|0|68,793|156
福島|155,095|1,083,230|21,098|4|133,753|244
茨城|320,491|1,654,084|22,178|5|297,722|591
栃木|196,529|909,227|19,706|8|176,389|434
群馬|205,982|843,609|22,910|7|182,649|423
埼玉|1,071,900|3,730,278|63,505|34|1,006,284|2,111
千葉|852,700|2,716,215|50,497|15|787,542|2,261
東京|2,940,070|8,914,929|164,539|34|2,770,180|5,351
神奈川|1,362,275|4,372,234|18,587|45|1,340,913|2,775
新潟|198,320|890,582|20,342|5|177,856|122
富山|109,372|336,375|18,341|3|90,889|142
石川|139,515|710,439|17,706|3|121,546|240
福井|97,496|430,384|10,216|4|87,195|85
山梨|85,332|471,939|7,419|1|77,807|124
長野|176,196|963,204|18,105|2|154,563|292
岐阜|255,830|1,206,200|26,615|4|226,137|485
静岡|426,448|1,694,210|40,213|5|384,535|664
愛知|1,208,407|3,789,769|118,906|23|1,086,876|2,625
三重|218,259|727,705|31,917|3|189,955|454
滋賀|204,130|879,817|19,636|3|184,207|287
京都|430,958|1,141,398|52,925|61|373,440|916
大阪|1,928,812|9,187,723|170,987|74|1,751,780|6,045
兵庫|905,139|2,304,746|70,266|38|832,239|2,652
奈良|202,050|697,726|52,387|5|149,181|482
和歌山|117,289|292,449|9,200|6|107,567|213
鳥取|54,135|651,052|9,497|3|44,151|56
島根|70,992|335,792|8,125|2|62,787|80
岡山|234,987|766,523|28,317|16|180,667|364
広島|364,778|2,543,993|75,102|6|289,027|649
山口|141,289|780,526|17,824|5|123,123|342
徳島|80,144|274,278|13,554|5|66,532|128
香川|123,687|377,450|14,916|1|108,516|255
愛媛|140,812|570,332|22,157|2|118,390|265
高知|86,047|445,490|15,774|7|70,029|244
福岡|991,967|3,734,320|96,935|5|872,531|1,760
佐賀|141,934|377,021|13,848|2|123,184|196
長崎|188,354|681,803|36,135|2|152,069|274
熊本|296,719|487,444|36,093|14|260,078|548
大分|155,585|834,100|12,871|6|142,427|287
宮崎|171,019|232,616|20,354|8|149,758|291
鹿児島|261,997|692,640|31,138|12|227,518|438
沖縄|476,679|1,143,178|24,385|30|451,201|623
その他（その他）|149|0|0|0|149|0
合計|19,071,057|69,680,454|1,683,417|539|17,272,044|40,190
