都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|688,844|2,948,475|43,676|7|642,154|2,492
青森|146,458|393,001|14,484|0|131,719|255
岩手|98,292|427,735|5,723|2|92,396|173
宮城|239,652|835,948|22,247|7|204,624|336
秋田|88,716|73,249|18,205|1|70,326|185
山形|92,039|242,807|8,221|0|83,656|172
福島|165,349|1,109,700|17,195|1|147,910|244
茨城|335,319|1,654,084|20,655|9|301,424|617
栃木|206,222|923,742|17,519|6|188,246|457
群馬|216,010|857,288|14,152|6|201,412|446
埼玉|1,109,866|3,793,887|48,298|25|1,059,335|2,233
千葉|883,800|2,764,314|37,084|13|834,872|2,367
東京|3,015,669|9,057,534|123,478|31|2,886,635|5,556
神奈川|1,400,905|4,473,586|42,382|37|1,355,659|2,864
新潟|211,472|911,154|16,416|4|194,925|131
富山|116,649|344,846|8,896|1|107,591|162
石川|147,918|723,099|9,356|1|138,280|259
福井|103,369|437,960|4,982|1|98,294|93
山梨|89,230|486,368|4,636|1|84,476|139
長野|187,296|984,205|12,432|3|172,440|315
岐阜|270,730|1,233,167|20,185|4|247,984|529
静岡|452,131|1,735,540|26,945|3|422,698|698
愛知|1,264,817|3,899,885|91,619|24|1,170,475|2,723
三重|230,844|757,712|17,156|4|217,476|479
滋賀|214,430|912,773|16,120|4|198,013|297
京都|448,521|1,162,894|41,748|68|403,202|956
大阪|1,988,847|9,342,480|114,836|52|1,867,806|6,205
兵庫|944,528|2,363,527|51,301|25|890,517|2,728
奈良|211,230|709,737|52,389|6|158,337|504
和歌山|123,138|302,781|4,259|5|118,340|230
鳥取|57,542|671,623|9,342|3|44,778|66
島根|75,350|335,792|7,339|1|67,924|87
岡山|249,812|785,625|23,510|10|207,028|379
広島|388,158|2,573,285|68,469|7|319,000|689
山口|149,778|800,588|6,925|5|142,497|356
徳島|85,780|278,536|4,478|5|81,151|151
香川|130,221|386,340|10,711|4|119,243|267
愛媛|148,750|588,458|8,088|2|140,382|280
高知|91,459|465,217|11,218|8|79,969|272
福岡|1,026,649|3,794,508|68,589|20|936,903|1,826
佐賀|148,021|377,021|13,035|1|125,171|209
長崎|198,818|704,726|24,335|3|174,259|302
熊本|309,790|507,964|17,948|10|291,254|588
大分|163,797|855,610|6,064|3|157,422|311
宮崎|180,783|234,901|8,811|7|170,995|326
鹿児島|276,670|712,316|12,646|7|261,477|481
沖縄|486,806|1,154,859|16,745|14|468,952|658
その他（その他）|149|0|0|0|149|0
合計|19,860,624|71,090,847|1,244,848|461|18,479,776|42,093
