都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|704,854|2,982,615|31,084|3|674,700|2,518
青森|150,015|404,942|8,718|0|141,030|267
岩手|101,125|435,363|3,944|2|97,004|177
宮城|245,295|924,250|21,601|4|204,624|356
秋田|91,706|74,027|13,993|2|77,517|196
山形|96,166|252,001|6,854|0|89,144|178
福島|173,265|1,126,431|9,664|1|163,350|251
茨城|342,500|1,654,084|20,362|10|301,424|629
栃木|211,460|931,353|9,307|5|201,688|465
群馬|221,783|868,601|11,579|3|209,748|456
埼玉|1,131,306|3,834,078|24,859|22|1,104,161|2,286
千葉|901,533|2,764,314|37,084|13|834,872|2,436
東京|3,057,156|9,150,060|80,583|28|2,970,898|5,675
神奈川|1,426,292|4,531,564|33,485|30|1,389,907|2,900
新潟|217,522|923,047|8,171|2|209,212|139
富山|120,650|350,875|7,762|0|112,721|167
石川|151,873|738,007|7,334|1|144,246|270
福井|106,626|443,214|3,329|0|103,202|95
山梨|91,119|499,562|3,293|0|87,700|143
長野|193,012|992,728|6,750|2|184,749|327
岐阜|278,594|1,249,332|10,237|4|265,458|543
静岡|465,030|1,760,702|15,947|4|446,063|720
愛知|1,292,606|3,961,518|57,060|21|1,232,781|2,765
三重|236,461|784,998|10,334|3|226,621|495
滋賀|220,348|920,042|9,408|5|210,638|302
京都|457,355|1,174,777|30,377|49|424,645|980
大阪|2,021,581|9,436,591|84,528|50|1,930,789|6,264
兵庫|964,910|2,396,084|25,244|18|936,892|2,779
奈良|215,931|717,792|50,842|3|164,578|511
和歌山|126,166|308,548|3,206|5|122,415|236
鳥取|59,073|680,409|9,320|3|44,778|67
島根|77,747|345,574|4,980|1|72,679|88
岡山|257,385|802,467|17,566|4|228,698|387
広島|401,009|2,622,931|45,663|8|354,644|702
山口|153,980|800,588|5,090|2|148,525|365
徳島|88,268|280,512|3,079|5|85,037|162
香川|133,845|390,974|5,040|4|128,531|274
愛媛|153,037|601,087|6,594|2|146,161|282
高知|94,507|477,533|7,647|6|86,579|281
福岡|1,044,529|3,830,439|45,484|15|979,954|1,865
佐賀|151,191|377,021|12,984|0|125,171|212
長崎|203,706|722,111|22,550|2|177,499|312
熊本|316,218|522,511|11,800|7|303,813|605
大分|167,905|865,407|4,235|3|163,341|329
宮崎|185,710|236,750|6,656|7|178,035|334
鹿児島|285,141|723,440|7,280|4|275,426|503
沖縄|490,875|1,163,419|8,151|13|481,632|683
その他（その他）|149|0|0|0|149|0
合計|20,278,515|72,034,673|871,058|376|19,243,429|42,977
