都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|626,230|2,824,123|60,345|3|562,886|2,361
青森|128,025|353,604|18,231|0|109,601|193
岩手|86,535|400,819|12,561|0|73,826|148
宮城|214,360|799,020|32,533|9|178,775|287
秋田|76,240|71,441|20,074|4|56,080|86
山形|75,582|228,638|16,990|0|58,463|139
福島|143,940|1,057,517|27,402|3|116,296|242
茨城|302,810|1,477,266|26,762|7|275,488|560
栃木|187,039|896,164|24,394|8|162,230|415
群馬|194,565|825,569|29,870|4|164,284|411
埼玉|1,030,506|3,668,228|80,069|32|948,431|2,006
千葉|818,608|2,656,636|52,955|17|739,804|2,196
東京|2,853,364|8,791,649|197,580|38|2,650,595|5,189
神奈川|1,319,839|4,285,547|24,289|57|1,292,857|2,693
新潟|184,049|869,887|25,239|6|158,691|119
富山|100,728|327,101|22,920|3|77,676|132
石川|129,463|681,572|19,030|6|110,188|222
福井|91,308|422,919|13,130|4|78,107|71
山梨|80,181|471,939|9,637|1|70,459|114
長野|164,147|942,812|20,797|3|138,353|265
岐阜|239,289|1,179,709|31,009|7|204,852|462
静岡|401,913|1,658,352|50,602|9|347,983|616
愛知|1,143,252|3,673,662|146,263|30|994,464|2,525
三重|203,264|727,705|40,492|5|166,145|440
滋賀|192,299|863,357|22,827|3|169,188|284
京都|409,856|1,116,616|62,655|64|342,193|869
大阪|1,855,795|9,031,780|206,097|93|1,643,775|5,923
兵庫|858,017|2,239,236|82,740|48|772,703|2,585
奈良|191,271|683,451|51,308|11|139,501|462
和歌山|109,954|281,564|12,944|7|96,505|196
鳥取|50,217|626,381|8,784|1|40,971|48
島根|66,411|330,237|9,795|0|56,543|73
岡山|218,148|766,523|28,317|16|180,667|344
広島|337,448|2,440,723|77,582|7|259,246|620
山口|130,793|754,926|23,694|5|106,791|308
徳島|71,226|271,984|17,606|4|53,597|118
香川|114,855|367,906|18,626|1|95,997|232
愛媛|129,812|558,267|28,325|5|101,247|240
高知|78,302|426,104|17,178|14|60,908|216
福岡|947,166|3,664,341|111,130|13|811,398|1,664
佐賀|134,081|377,021|17,656|2|110,252|187
長崎|173,761|654,630|41,517|2|132,208|230
熊本|281,586|461,219|33,576|24|247,497|513
大分|146,520|814,943|17,323|7|128,937|260
宮崎|159,854|229,092|26,292|4|132,724|258
鹿児島|243,575|667,873|37,119|11|202,432|399
沖縄|462,636|1,123,979|29,650|26|431,937|593
その他（その他）|149|0|0|0|149|0
合計|18,158,969|68,044,032|1,985,915|624|16,053,900|38,514
