都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|728,207|3,051,788|18,117|1|707,626|2,565
青森|154,371|413,429|4,792|4|149,294|285
岩手|105,499|449,579|2,595|1|102,714|190
宮城|253,649|865,098|21,479|8|204,624|380
秋田|97,134|74,586|8,943|2|87,972|219
山形|102,096|283,171|6,691|0|90,443|189
福島|181,921|1,149,922|5,125|0|176,536|260
茨城|354,839|1,654,084|20,123|6|301,424|664
栃木|219,341|946,266|5,957|3|212,900|484
群馬|230,958|885,827|8,461|3|222,035|462
埼玉|1,168,755|3,904,241|20,844|17|1,145,567|2,344
千葉|929,511|2,843,675|16,849|7|904,076|2,520
東京|3,125,077|9,288,202|61,084|17|3,058,233|5,760
神奈川|1,461,822|4,650,197|25,313|25|1,433,556|2,953
新潟|227,374|942,742|6,933|0|220,290|151
富山|125,787|359,384|4,135|0|121,481|171
石川|157,828|759,142|4,429|0|153,096|280
福井|111,402|451,622|2,105|0|109,201|96
山梨|94,018|511,528|2,117|0|91,756|152
長野|201,975|1,017,239|4,735|1|196,233|334
岐阜|288,432|1,280,824|6,054|0|280,791|577
静岡|483,454|1,797,604|9,943|5|470,938|737
愛知|1,338,780|4,057,828|36,964|12|1,298,987|2,829
三重|247,801|805,760|10,247|3|226,621|517
滋賀|228,888|952,744|6,168|1|222,409|311
京都|470,584|1,195,410|18,749|35|449,187|1,030
大阪|2,069,388|9,603,132|52,232|35|2,010,771|6,385
兵庫|991,838|2,443,557|15,920|12|973,084|2,841
奈良|223,082|730,971|35,791|5|186,772|519
和歌山|130,819|316,972|2,440|2|127,824|246
鳥取|61,271|701,354|9,240|1|44,778|71
島根|80,625|359,474|2,536|1|77,997|92
岡山|268,454|816,883|8,998|6|249,098|399
広島|417,986|2,686,976|18,979|2|398,269|738
山口|160,006|827,032|3,515|2|156,113|378
徳島|91,388|288,215|1,693|3|89,534|170
香川|139,688|400,425|3,777|1|135,625|286
愛媛|159,105|616,521|4,441|2|154,376|288
高知|98,369|487,995|5,783|4|92,293|293
福岡|1,068,008|3,899,250|30,676|9|1,018,242|1,918
佐賀|155,138|377,021|12,867|1|125,171|218
長崎|209,293|742,894|21,949|2|177,499|322
熊本|325,661|532,642|8,680|6|316,363|618
大分|173,084|885,513|3,399|4|169,339|346
宮崎|192,468|238,495|4,227|1|187,182|353
鹿児島|295,095|737,338|4,064|3|286,186|528
沖縄|496,396|1,175,615|4,010|9|491,406|700
その他（その他）|149|0|0|0|149|0
合計|20,896,814|73,460,167|594,169|262|20,106,061|44,169
