都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|683,512|2,936,050|44,197|4|637,350|2,486
青森|145,269|383,213|14,759|0|130,256|254
岩手|97,447|425,568|8,309|2|88,967|171
宮城|238,043|848,724|22,320|9|204,624|328
秋田|87,920|73,249|18,028|0|69,710|182
山形|90,796|241,890|12,390|0|78,246|170
福島|165,349|1,104,909|17,195|1|147,910|244
茨城|332,794|1,654,084|20,666|8|301,424|615
栃木|204,854|921,589|18,238|3|186,160|456
群馬|207,556|845,391|19,189|3|194,914|440
埼玉|1,103,920|3,784,710|49,753|21|1,051,951|2,216
千葉|879,045|2,764,314|37,084|13|834,872|2,353
東京|3,005,029|9,029,675|124,986|29|2,874,517|5,526
神奈川|1,396,231|4,454,848|60,232|47|1,333,152|2,847
新潟|209,365|908,405|16,424|4|192,810|131
富山|115,516|344,408|13,073|2|102,285|158
石川|146,634|721,410|13,062|1|133,291|258
福井|102,414|436,865|8,090|2|94,231|93
山梨|88,678|486,368|4,888|1|83,673|136
長野|185,713|982,817|14,870|3|168,555|315
岐阜|268,698|1,228,035|20,237|3|245,419|525
静岡|448,637|1,731,283|27,221|3|418,149|690
愛知|1,256,100|3,884,034|92,136|23|1,161,256|2,708
三重|229,106|757,712|18,289|5|214,572|475
滋賀|212,968|908,917|16,252|4|196,421|295
京都|445,901|1,159,238|42,942|72|398,787|951
大阪|1,980,559|9,319,889|120,410|56|1,853,964|6,185
兵庫|938,300|2,354,522|52,824|25|882,783|2,710
奈良|209,809|707,908|52,965|6|156,344|500
和歌山|122,226|301,148|6,100|7|115,591|226
鳥取|57,158|669,923|9,349|3|44,778|65
島根|74,742|335,792|7,382|1|67,273|87
岡山|247,519|785,625|23,510|10|207,028|378
広島|384,545|2,573,285|67,491|11|316,367|687
山口|148,628|800,588|11,928|5|136,344|356
徳島|85,105|278,293|8,176|4|76,779|150
香川|129,408|384,777|11,627|3|117,516|265
愛媛|147,805|587,472|13,860|2|133,667|278
高知|90,572|465,217|11,234|7|79,070|268
福岡|1,021,096|3,784,467|73,049|21|928,458|1,813
佐賀|147,114|377,021|13,032|1|125,171|207
長崎|197,177|702,470|25,831|3|171,142|297
熊本|308,168|507,964|19,479|11|288,105|584
大分|162,732|852,166|9,911|3|152,515|306
宮崎|179,287|234,751|14,444|7|163,888|323
鹿児島|274,604|709,509|19,994|8|251,855|472
沖縄|485,779|1,153,389|18,047|14|466,615|652
その他（その他）|149|0|0|0|149|0
合計|19,739,977|70,903,882|1,345,473|471|18,278,904|41,832
