都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|724,866|3,037,439|19,560|1|704,196|2,553
青森|153,812|412,271|4,558|4|148,972|282
岩手|104,856|447,163|2,398|0|102,268|190
宮城|252,614|881,837|21,524|8|204,624|379
秋田|96,353|74,586|9,212|2|86,924|217
山形|101,452|282,555|6,696|1|90,443|188
福島|180,802|1,146,455|5,416|1|175,126|260
茨城|353,031|1,654,084|20,159|6|301,424|661
栃木|218,379|944,187|6,216|3|211,679|484
群馬|229,919|884,350|8,411|2|221,046|462
埼玉|1,163,386|3,894,019|17,792|16|1,143,253|2,341
千葉|926,302|2,843,675|16,849|7|904,076|2,515
東京|3,116,227|9,270,241|61,574|21|3,048,900|5,753
神奈川|1,458,322|4,630,675|27,344|35|1,428,037|2,941
新潟|225,879|939,185|6,442|0|219,286|151
富山|125,198|357,651|4,601|0|120,426|171
石川|156,931|757,774|4,421|0|152,210|277
福井|110,887|450,974|2,129|0|108,662|96
山梨|93,602|511,528|2,101|0|91,360|149
長野|200,855|1,012,588|4,874|1|195,102|334
岐阜|287,422|1,277,146|5,779|0|279,420|574
静岡|481,049|1,793,194|10,180|5|468,406|736
愛知|1,332,157|4,046,299|37,732|10|1,291,602|2,823
三重|246,002|805,760|10,261|2|226,621|514
滋賀|227,843|943,668|6,211|1|221,323|309
京都|468,962|1,191,950|19,325|35|447,565|1,026
大阪|2,063,524|9,580,298|53,620|37|2,003,528|6,376
兵庫|989,163|2,438,512|16,883|11|969,451|2,834
奈良|221,984|729,449|36,735|3|184,730|519
和歌山|130,120|315,783|2,238|2|127,327|246
鳥取|61,020|700,068|9,258|1|44,778|71
島根|80,326|353,250|2,717|1|77,517|92
岡山|266,099|816,883|8,998|6|249,098|399
広島|417,080|2,686,976|20,488|6|395,856|736
山口|159,281|827,032|3,510|2|155,393|378
徳島|90,968|287,413|1,635|4|89,174|168
香川|139,047|398,660|3,893|2|134,870|284
愛媛|158,401|615,657|4,530|2|153,584|287
高知|97,882|487,995|5,829|5|91,760|293
福岡|1,065,159|3,889,299|27,870|8|1,017,421|1,916
佐賀|154,705|377,021|12,889|0|125,171|218
長崎|208,621|739,231|22,032|2|177,499|321
熊本|324,311|532,642|8,711|7|314,982|618
大分|172,533|881,388|2,899|4|169,292|342
宮崎|191,514|238,396|4,110|1|186,348|353
鹿児島|294,047|735,822|4,914|3|286,186|526
沖縄|495,726|1,173,457|4,468|8|490,272|700
その他（その他）|149|0|0|0|149|0
合計|20,818,768|73,296,486|599,992|276|20,037,337|44,063
