都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|581,465|2,752,029|58,980|5|518,159|2,292
青森|115,236|338,593|14,641|0|100,429|166
岩手|75,582|382,791|10,261|0|65,184|137
宮城|190,662|788,760|26,423|13|159,409|263
秋田|65,941|70,406|16,086|6|49,769|86
山形|64,143|222,935|13,506|0|50,525|122
福島|124,771|1,022,615|21,671|3|102,860|240
茨城|275,078|1,477,266|20,857|4|253,691|530
栃木|170,963|874,421|22,003|6|148,573|387
群馬|177,643|807,603|40,476|8|136,767|400
埼玉|963,604|3,579,163|79,245|38|882,476|1,883
千葉|769,049|2,600,467|50,080|12|694,809|2,093
東京|2,699,456|8,624,234|217,010|34|2,477,429|5,017
神奈川|1,252,883|4,163,808|40,814|58|1,209,512|2,557
新潟|160,819|842,941|21,163|5|139,545|111
富山|86,040|315,539|17,705|7|68,216|119
石川|113,945|649,493|16,644|5|97,064|214
福井|81,227|410,748|11,893|3|69,272|62
山梨|71,425|457,423|9,275|0|62,124|99
長野|146,077|913,300|17,134|1|124,294|240
岐阜|213,551|1,142,089|30,852|3|178,075|423
静岡|362,104|1,606,318|44,156|10|312,770|568
愛知|1,036,370|3,532,828|129,588|33|904,381|2,401
三重|178,790|695,640|29,281|2|152,539|397
滋賀|173,869|832,708|22,131|3|151,471|267
京都|377,890|1,078,235|61,130|79|310,767|824
大阪|1,730,754|8,819,827|211,907|87|1,513,088|5,759
兵庫|782,883|2,137,722|78,149|39|702,236|2,514
奈良|171,524|658,948|40,800|12|130,277|447
和歌山|97,100|265,276|11,849|2|84,766|176
鳥取|42,979|594,472|7,717|1|34,832|40
島根|59,670|317,298|9,017|0|50,589|64
岡山|192,448|744,043|22,412|15|158,999|309
広島|291,529|2,342,329|53,756|11|237,187|586
山口|112,257|729,913|18,986|5|93,006|265
徳島|55,586|270,507|11,040|4|44,489|109
香川|101,062|354,364|15,858|2|84,995|209
愛媛|111,561|526,675|24,317|5|87,031|213
高知|66,208|404,831|13,844|10|52,184|180
福岡|864,949|3,545,752|98,876|15|737,818|1,555
佐賀|120,659|377,021|14,810|2|96,439|176
長崎|150,006|617,227|36,014|4|113,977|196
熊本|251,511|461,219|36,708|24|214,337|466
大分|130,962|786,209|17,142|5|113,591|229
宮崎|141,039|223,607|24,609|5|115,721|227
鹿児島|214,327|629,100|32,042|11|172,423|331
沖縄|439,902|1,102,789|32,845|19|406,077|560
その他（その他）|149|0|0|0|149|0
合計|16,657,648|66,091,482|1,855,703|616|14,664,321|36,509
