都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|495,063|2,626,321|53,848|9|437,655|2,181
青森|96,634|312,763|13,798|0|82,688|148
岩手|60,600|359,103|8,386|0|52,100|114
宮城|151,330|727,511|30,983|6|117,090|222
秋田|51,175|68,387|12,298|3|38,798|79
山形|47,758|216,698|9,032|0|38,629|107
福島|97,574|967,258|16,697|3|80,645|232
茨城|232,925|1,477,266|24,694|8|207,736|495
栃木|143,401|842,652|26,658|11|116,426|317
群馬|145,968|768,546|36,298|2|111,832|357
埼玉|835,680|3,380,815|110,401|31|723,550|1,729
千葉|678,332|2,475,643|68,353|16|566,097|1,915
東京|2,362,549|8,291,148|282,801|37|2,075,006|4,742
神奈川|1,110,312|3,867,584|106,213|58|1,001,719|2,380
新潟|124,840|789,628|20,582|2|104,215|95
富山|66,489|297,211|14,248|5|52,134|107
石川|91,416|600,977|13,963|1|77,226|204
福井|66,028|391,738|11,757|1|54,216|55
山梨|54,896|429,374|8,092|0|46,789|78
長野|117,462|866,921|13,848|0|99,847|219
岐阜|169,621|1,081,469|29,081|0|137,048|380
静岡|294,862|1,517,829|43,809|7|240,310|484
愛知|864,926|3,302,506|130,888|35|731,825|2,213
三重|141,771|644,046|23,333|1|120,870|353
滋賀|143,689|782,697|24,712|2|118,741|236
京都|319,928|1,008,762|58,668|95|255,774|782
大阪|1,492,827|8,456,974|226,428|73|1,260,942|5,457
兵庫|653,336|1,965,051|83,637|36|567,345|2,365
奈良|142,149|624,992|30,235|11|111,496|418
和歌山|74,447|234,731|8,758|4|65,233|147
鳥取|32,161|533,250|6,546|1|25,284|25
島根|47,958|297,444|8,113|2|39,798|47
岡山|153,352|697,846|15,773|7|124,763|276
広島|231,214|2,098,726|29,746|7|200,937|531
山口|83,213|683,889|12,967|3|70,038|208
徳島|39,740|261,915|5,673|3|33,998|94
香川|77,900|333,450|11,294|2|66,447|159
愛媛|81,910|474,701|15,832|3|65,912|166
高知|49,448|370,021|8,794|4|40,525|129
福岡|724,724|3,337,411|101,892|16|600,302|1,397
佐賀|97,322|351,531|12,996|1|78,706|144
長崎|109,496|550,150|23,559|2|88,281|157
熊本|205,812|406,426|30,445|10|174,968|399
大分|103,550|739,733|14,641|2|88,710|199
宮崎|106,915|213,032|17,736|7|88,727|189
鹿児島|166,610|559,536|27,835|1|135,165|254
沖縄|389,676|1,057,490|39,998|23|348,952|516
その他（その他）|149|0|0|0|149|0
合計|14,029,138|62,343,152|1,926,339|551|11,965,644|33,501
