都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|527,462|2,676,423|56,261|9|466,930|2,219
青森|103,326|321,995|13,679|0|89,495|152
岩手|66,018|369,122|9,165|1|56,729|124
宮城|166,329|740,590|29,270|9|133,556|237
秋田|56,339|69,420|13,405|4|42,854|80
山形|53,285|218,411|10,665|1|42,517|113
福島|104,996|983,888|16,626|3|88,135|235
茨城|250,474|1,477,266|25,071|8|224,902|501
栃木|155,536|853,275|28,566|8|126,642|328
群馬|157,580|783,045|45,710|2|114,282|366
埼玉|891,067|3,450,957|102,265|40|787,024|1,778
千葉|718,646|2,547,441|66,042|19|633,518|1,979
東京|2,501,351|8,415,120|275,495|40|2,221,030|4,826
神奈川|1,174,077|3,973,090|96,020|72|1,075,609|2,448
新潟|139,299|811,022|22,459|3|116,742|98
富山|73,093|303,378|13,873|4|59,107|113
石川|99,669|616,913|14,461|1|84,977|208
福井|71,692|398,876|11,905|3|59,728|59
山梨|60,452|429,374|8,809|0|51,633|87
長野|127,871|887,705|15,905|2|107,407|227
岐阜|186,644|1,104,317|30,194|3|152,304|393
静岡|320,893|1,551,553|45,926|12|267,365|520
愛知|935,243|3,385,956|137,132|49|795,829|2,282
三重|155,867|644,046|26,662|1|131,830|372
滋賀|155,660|806,932|26,610|3|128,798|252
京都|343,789|1,039,227|66,252|97|267,829|793
大阪|1,590,356|8,610,042|230,660|68|1,354,118|5,578
兵庫|706,191|2,035,152|89,283|43|614,508|2,407
奈良|153,024|640,026|36,138|12|116,459|427
和歌山|83,414|247,370|11,824|1|71,124|157
鳥取|36,279|562,496|7,254|1|28,613|30
島根|52,288|307,215|8,602|0|43,631|55
岡山|167,229|697,846|15,773|7|124,763|290
広島|253,552|2,221,351|40,923|9|212,086|543
山口|92,699|707,582|15,829|3|76,652|218
徳島|44,968|266,702|7,770|5|37,149|94
香川|85,520|341,781|13,101|2|72,237|182
愛媛|92,170|486,238|19,874|4|72,109|187
高知|55,052|386,929|10,745|8|44,164|143
福岡|780,624|3,422,313|101,262|25|654,589|1,459
佐賀|105,462|360,617|13,741|1|84,347|153
長崎|122,264|573,706|30,731|2|94,908|165
熊本|223,760|406,426|29,174|18|194,161|425
大分|113,263|757,615|15,246|3|97,809|208
宮崎|116,712|216,613|20,830|4|95,346|204
鹿児島|183,690|587,034|28,506|4|150,949|279
沖縄|409,992|1,073,186|37,368|23|371,778|535
その他（その他）|149|0|0|0|149|0
合計|15,065,316|63,767,582|1,993,062|637|12,938,421|34,529
