都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|708,575|2,992,435|27,636|3|679,290|2,523
青森|150,839|406,397|7,836|6|142,735|268
岩手|101,919|438,557|3,824|2|97,914|181
宮城|246,590|849,311|21,531|5|204,624|362
秋田|92,456|74,027|13,350|2|78,908|198
山形|97,364|252,160|6,753|0|90,443|178
福島|174,736|1,129,405|9,427|0|165,054|255
茨城|344,570|1,654,084|20,331|9|301,424|634
栃木|212,799|933,936|9,413|4|202,915|471
群馬|223,217|870,694|9,350|3|213,410|457
埼玉|1,137,345|3,843,775|27,384|21|1,107,657|2,304
千葉|905,947|2,807,095|20,584|11|878,513|2,450
東京|3,067,749|9,169,083|80,242|26|2,981,816|5,691
神奈川|1,431,430|4,551,113|33,239|26|1,395,281|2,910
新潟|219,154|926,666|8,288|2|210,727|139
富山|121,703|352,280|7,641|0|113,894|168
石川|152,907|741,042|6,916|1|145,697|271
福井|107,556|444,287|3,244|0|104,217|95
山梨|91,734|499,562|3,407|0|88,194|145
長野|194,491|1,000,978|6,504|2|186,428|327
岐阜|280,127|1,256,414|10,288|4|267,763|543
静岡|468,240|1,767,535|14,870|5|450,382|723
愛知|1,301,363|3,973,620|55,565|16|1,243,020|2,778
三重|238,752|784,998|10,301|3|226,621|500
滋賀|221,557|927,219|9,027|2|212,227|303
京都|459,930|1,178,397|29,435|45|426,940|987
大阪|2,029,299|9,464,176|81,089|52|1,941,929|6,281
兵庫|968,768|2,402,562|25,602|19|940,387|2,786
奈良|217,387|719,670|51,522|3|165,352|513
和歌山|126,827|309,828|3,167|3|123,115|236
鳥取|59,346|682,572|9,331|3|44,778|67
島根|78,149|345,574|4,072|2|73,989|88
岡山|259,197|802,467|17,566|4|228,698|387
広島|402,608|2,647,378|38,394|7|363,504|710
山口|154,916|815,518|5,136|3|149,412|368
徳島|88,916|282,177|3,076|5|85,686|162
香川|134,845|393,023|5,134|4|129,437|274
愛媛|153,944|602,012|6,275|5|147,387|282
高知|95,265|477,533|7,765|6|87,215|285
福岡|1,047,215|3,837,767|45,236|15|983,346|1,872
佐賀|151,777|377,021|12,978|2|125,171|214
長崎|204,466|724,393|22,480|2|177,499|313
熊本|317,684|522,511|10,736|7|306,343|605
大分|168,676|869,800|4,074|3|164,271|331
宮崎|186,856|237,341|6,290|6|179,544|337
鹿児島|286,994|725,952|6,937|2|277,697|507
沖縄|491,699|1,165,021|7,754|13|482,851|690
その他（その他）|149|0|0|0|149|0
合計|20,378,033|72,229,366|831,000|364|19,393,854|43,169
