都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|740,518|3,071,957|17,867|2|717,238|2,575
青森|156,026|415,661|4,293|2|151,129|287
岩手|107,414|453,848|3,240|1|103,563|191
宮城|257,027|868,963|21,442|6|204,624|390
秋田|99,414|74,931|8,638|3|89,825|221
山形|104,587|285,126|6,647|0|90,443|193
福島|185,293|1,156,057|3,568|0|180,682|260
茨城|360,021|1,654,084|20,077|5|301,424|672
栃木|222,467|951,477|5,426|2|215,803|488
群馬|234,284|889,043|8,126|2|225,131|463
埼玉|1,183,789|3,923,165|18,013|11|1,160,893|2,358
千葉|942,214|2,843,675|16,849|7|904,076|2,540
東京|3,154,675|9,326,724|49,653|20|3,093,983|5,792
神奈川|1,478,641|4,662,342|22,376|25|1,450,734|2,960
新潟|231,561|946,705|6,479|0|223,993|151
富山|127,694|361,157|3,204|0|123,822|173
石川|160,473|763,788|3,937|0|155,716|280
福井|113,234|453,291|1,921|0|110,918|98
山梨|95,270|511,528|1,236|0|93,672|153
長野|205,424|1,020,358|3,991|1|199,312|344
岐阜|291,518|1,286,200|4,981|0|284,881|583
静岡|488,972|1,805,640|8,320|3|478,956|737
愛知|1,354,618|4,090,285|29,073|8|1,319,979|2,853
三重|251,236|820,741|10,233|1|226,621|523
滋賀|232,024|956,287|5,367|2|225,722|315
京都|475,063|1,200,085|12,992|23|459,222|1,048
大阪|2,086,723|9,662,874|44,943|33|2,032,077|6,403
兵庫|1,002,045|2,462,063|13,928|8|984,442|2,844
奈良|226,108|733,770|29,892|4|195,268|522
和歌山|132,327|319,456|2,190|4|129,448|248
鳥取|62,310|705,151|9,233|1|44,778|72
島根|81,827|359,474|2,076|0|79,352|92
岡山|272,840|851,339|6,379|4|259,947|403
広島|424,614|2,686,976|15,911|3|407,916|746
山口|162,583|827,032|3,002|2|158,495|382
徳島|92,487|289,701|1,372|3|90,741|171
香川|141,430|402,591|2,670|3|138,120|287
愛媛|161,266|626,299|3,796|1|156,705|288
高知|99,683|494,109|5,056|4|94,023|293
福岡|1,074,699|3,918,607|27,281|9|1,029,285|1,929
佐賀|156,414|377,021|12,831|2|125,171|220
長崎|211,206|747,352|21,756|3|177,499|322
熊本|329,032|540,288|7,067|5|320,699|629
大分|174,828|888,535|2,223|4|172,076|352
宮崎|194,643|238,860|3,880|2|189,320|356
鹿児島|297,668|740,329|1,372|2|286,186|534
沖縄|498,725|1,178,432|3,084|4|494,076|714
その他（その他）|149|0|0|0|149|0
合計|21,137,064|73,843,377|517,891|225|20,358,135|44,455
