都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|733,578|3,066,110|18,604|1|712,624|2,571
青森|155,144|414,271|4,735|3|150,122|287
岩手|106,232|452,475|2,496|1|103,545|191
宮城|254,835|867,198|21,463|6|204,624|385
秋田|97,855|74,586|8,734|3|88,900|221
山形|102,964|283,171|6,647|0|90,443|191
福島|183,222|1,149,922|4,111|0|178,851|260
茨城|357,705|1,654,084|20,106|5|301,424|668
栃木|220,452|950,231|5,271|3|214,694|487
群馬|230,958|885,827|8,210|2|223,635|463
埼玉|1,175,451|3,912,286|18,948|15|1,154,149|2,354
千葉|935,238|2,843,675|16,849|7|904,076|2,529
東京|3,137,491|9,305,134|60,107|15|3,071,607|5,777
神奈川|1,470,288|4,650,197|25,082|25|1,442,248|2,958
新潟|229,448|943,072|7,199|0|222,098|151
富山|126,527|359,384|3,576|0|122,780|171
石川|159,026|762,105|4,228|0|154,495|280
福井|112,272|452,547|1,933|0|110,242|97
山梨|94,018|511,528|2,117|0|91,756|152
長野|203,308|1,017,239|4,686|2|197,969|334
岐阜|289,562|1,286,052|5,498|0|283,119|580
静岡|486,015|1,797,604|9,667|4|470,938|737
愛知|1,346,999|4,057,828|33,234|11|1,310,920|2,845
三重|249,649|820,741|10,233|1|226,621|523
滋賀|230,300|954,475|5,885|2|224,103|312
京都|472,611|1,198,556|16,470|30|454,269|1,038
大阪|2,076,621|9,637,491|46,468|33|2,023,756|6,397
兵庫|997,808|2,454,869|15,421|9|979,546|2,842
奈良|224,517|730,971|31,175|2|192,821|521
和歌山|131,586|318,376|2,357|5|128,673|247
鳥取|61,659|704,027|9,238|1|44,778|71
島根|81,017|359,474|2,070|0|78,855|92
岡山|270,454|816,883|6,379|4|259,947|402
広島|422,310|2,686,976|17,739|4|403,828|743
山口|161,021|827,032|3,274|1|157,366|381
徳島|91,935|288,928|1,600|3|90,170|170
香川|140,439|401,864|3,066|3|137,086|287
愛媛|159,970|625,464|3,843|1|155,839|288
高知|98,878|487,995|5,211|4|93,374|293
福岡|1,070,035|3,904,978|28,765|9|1,024,934|1,922
佐賀|155,610|377,021|12,840|2|125,171|218
長崎|210,075|742,894|21,850|2|177,499|322
熊本|325,661|540,288|8,680|6|316,363|618
大分|173,884|888,476|2,589|4|170,943|352
宮崎|193,420|238,609|3,671|2|188,680|354
鹿児島|296,173|739,023|2,630|2|286,186|530
沖縄|497,373|1,177,094|3,180|6|493,210|711
その他（その他）|149|0|0|0|149|0
合計|21,001,743|73,619,031|558,135|239|20,239,426|44,323
