都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|640,791|2,845,065|57,006|7|583,857|2,395
青森|133,045|359,574|17,074|0|115,763|208
岩手|89,107|407,132|10,207|0|78,741|159
宮城|220,262|816,496|27,821|10|191,009|297
秋田|78,718|72,420|19,978|2|58,654|86
山形|79,291|232,598|14,893|0|64,259|149
福島|148,977|1,070,202|25,284|3|123,451|242
茨城|312,349|1,477,266|24,011|5|287,765|573
栃木|191,221|902,295|22,621|12|168,178|422
群馬|199,652|830,670|22,905|10|176,328|419
埼玉|1,051,536|3,692,879|68,765|31|980,710|2,061
千葉|835,642|2,656,636|52,955|17|739,804|2,224
東京|2,896,204|8,839,149|172,885|41|2,718,052|5,267
神奈川|1,343,378|4,303,224|21,226|55|1,319,422|2,730
新潟|191,480|877,043|22,263|6|169,098|119
富山|104,532|330,718|21,276|6|83,120|136
石川|134,844|695,308|19,358|5|115,237|226
福井|94,556|426,614|11,425|3|83,053|78
山梨|83,014|471,939|8,491|1|74,431|119
長野|169,157|946,333|20,293|4|147,557|278
岐阜|246,171|1,184,513|27,078|8|217,236|474
静岡|414,218|1,672,993|45,824|8|366,881|639
愛知|1,177,968|3,728,366|133,957|28|1,041,438|2,573
三重|210,000|727,705|36,400|4|177,114|449
滋賀|198,162|869,034|20,510|3|177,367|285
京都|419,904|1,129,114|56,804|66|359,730|890
大阪|1,887,681|9,112,687|191,039|81|1,690,683|5,959
兵庫|885,179|2,276,939|79,783|46|802,791|2,612
奈良|197,384|688,683|53,359|11|143,557|468
和歌山|113,635|286,620|10,905|7|102,220|201
鳥取|52,363|632,313|8,637|1|43,248|53
島根|68,187|330,237|8,237|2|59,872|78
岡山|226,825|766,523|28,317|16|180,667|351
広島|353,284|2,441,917|81,161|10|271,488|635
山口|135,864|754,926|19,085|5|116,458|321
徳島|75,945|274,626|15,478|4|60,444|122
香川|118,882|372,187|16,157|0|102,484|241
愛媛|134,754|563,771|23,232|3|111,270|252
高知|82,103|445,490|16,228|12|65,649|226
福岡|970,501|3,696,606|106,147|11|844,018|1,701
佐賀|137,587|377,021|15,816|3|117,316|193
長崎|180,806|664,085|40,447|2|140,285|246
熊本|288,319|487,444|34,853|18|252,933|533
大分|150,767|818,615|14,640|8|135,858|269
宮崎|165,097|230,758|21,079|7|143,136|273
鹿児島|252,045|679,332|34,437|13|215,448|413
沖縄|469,370|1,129,927|29,609|23|438,701|600
その他（その他）|149|0|0|0|149|0
合計|18,610,906|68,595,993|1,829,956|618|16,656,930|39,245
