都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|619,835|2,812,936|60,799|2|557,147|2,343
青森|125,906|351,430|18,148|0|107,567|191
岩手|85,235|398,220|12,559|0|72,531|145
宮城|211,595|794,396|32,411|12|175,741|285
秋田|74,928|71,441|20,371|4|54,471|86
山形|74,182|227,695|16,688|1|57,368|136
福島|141,476|1,051,065|26,222|3|115,012|242
茨城|299,199|1,477,266|27,074|6|271,572|553
栃木|185,212|892,730|23,825|11|160,980|407
群馬|192,346|823,476|29,497|6|162,440|409
埼玉|1,021,595|3,655,119|81,190|29|938,418|1,987
千葉|811,296|2,656,636|52,955|17|739,804|2,182
東京|2,834,941|8,767,474|208,394|38|2,621,383|5,164
神奈川|1,310,758|4,266,192|25,064|56|1,283,019|2,675
新潟|181,002|866,118|25,507|6|155,376|119
富山|98,931|325,453|22,000|4|76,800|131
石川|127,431|673,895|18,656|6|108,530|222
福井|90,078|421,489|13,408|3|76,602|68
山梨|78,955|457,423|9,753|0|69,127|111
長野|162,015|940,108|20,554|3|136,058|254
岐阜|236,323|1,174,066|31,010|6|201,161|451
静岡|396,565|1,650,303|50,849|12|342,113|611
愛知|1,128,910|3,646,811|141,734|37|984,674|2,502
三重|199,937|695,640|38,795|4|164,466|435
滋賀|189,556|860,016|22,443|3|166,830|283
京都|405,709|1,111,415|62,122|70|337,744|861
大阪|1,840,298|8,993,184|207,674|92|1,626,731|5,893
兵庫|847,332|2,224,639|80,635|42|764,134|2,574
奈良|188,164|679,415|50,068|15|137,637|459
和歌山|108,197|279,335|13,544|6|94,153|191
鳥取|49,264|622,766|8,299|1|40,505|46
島根|65,599|317,298|9,942|0|55,585|72
岡山|214,595|744,043|22,412|15|158,999|339
広島|330,685|2,352,798|77,659|4|252,409|617
山口|128,391|754,926|23,527|4|104,559|305
徳島|68,915|271,953|17,241|6|51,636|118
香川|113,098|365,788|18,953|1|93,919|226
愛媛|127,551|544,008|28,168|4|99,151|232
高知|76,494|426,104|16,761|10|59,520|213
福岡|936,616|3,648,375|110,332|14|799,733|1,646
佐賀|132,516|377,021|17,843|2|108,477|187
長崎|170,524|648,799|40,569|4|129,927|225
熊本|278,405|461,219|33,343|22|244,554|508
大分|144,680|810,416|18,230|8|126,195|255
宮崎|157,416|227,828|27,308|5|129,276|252
鹿児島|239,950|662,913|36,537|10|199,007|392
沖縄|459,621|1,121,598|30,963|22|427,576|586
その他（その他）|149|0|0|0|149|0
合計|17,962,376|67,603,239|1,982,036|626|15,840,766|38,189
