都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|606,399|2,787,757|62,186|4|543,558|2,322
青森|121,262|346,286|15,955|0|105,124|183
岩手|81,919|392,193|11,713|0|70,067|139
宮城|204,541|796,874|28,583|15|171,569|277
秋田|71,790|71,441|18,810|5|52,894|86
山形|70,481|226,444|15,808|1|54,553|130
福島|135,477|1,038,937|23,928|3|111,307|242
茨城|290,506|1,477,266|24,495|5|265,468|543
栃木|180,316|886,775|22,159|7|157,757|400
群馬|187,153|816,327|31,731|5|155,018|405
埼玉|1,000,581|3,620,619|77,983|33|920,646|1,952
千葉|794,914|2,600,467|50,080|12|694,809|2,157
東京|2,786,368|8,711,518|199,593|39|2,581,659|5,116
神奈川|1,293,155|4,218,664|27,567|55|1,262,966|2,622
新潟|173,676|857,361|23,809|5|149,748|119
富山|93,871|321,410|19,776|7|73,969|126
石川|122,104|661,719|17,397|5|104,468|216
福井|86,918|417,888|12,626|3|74,225|67
山梨|76,351|457,423|9,537|0|66,735|106
長野|156,161|926,159|19,355|1|132,504|254
岐阜|228,371|1,159,465|28,711|4|194,058|444
静岡|383,009|1,631,978|47,048|13|330,967|601
愛知|1,092,651|3,597,324|131,080|38|959,112|2,459
三重|191,484|695,640|34,504|3|160,231|418
滋賀|184,009|846,585|21,714|5|162,020|275
京都|394,954|1,098,361|63,137|79|327,723|846
大阪|1,802,310|8,925,360|232,099|93|1,564,368|5,843
兵庫|825,689|2,195,493|91,839|45|731,312|2,551
奈良|182,712|675,074|47,417|11|134,840|455
和歌山|104,425|274,454|13,551|3|90,377|188
鳥取|47,102|606,783|8,250|1|38,398|44
島根|63,651|317,298|9,672|0|53,911|68
岡山|206,728|744,043|22,412|15|158,999|326
広島|319,606|2,342,329|70,856|10|248,146|604
山口|122,363|729,913|21,724|5|100,345|294
徳島|63,235|271,871|14,504|4|48,680|116
香川|108,537|360,330|17,490|1|90,826|221
愛媛|121,912|537,733|25,964|4|95,722|226
高知|72,655|426,104|15,404|7|57,046|205
福岡|913,213|3,612,817|104,853|15|783,649|1,612
佐賀|128,566|377,021|16,621|2|106,305|183
長崎|162,321|635,579|38,623|5|123,692|210
熊本|270,156|461,219|35,996|21|233,664|496
大分|139,647|798,410|17,893|5|121,507|247
宮崎|150,816|226,678|24,344|5|125,695|246
鹿児島|231,093|651,008|36,243|13|186,958|375
沖縄|452,590|1,112,253|31,412|24|420,183|571
その他（その他）|149|0|0|0|149|0
合計|17,497,897|66,944,651|1,936,452|636|15,397,927|37,586
