都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|674,742|2,914,136|47,858|3|625,917|2,463
青森|143,029|374,622|15,270|0|127,509|250
岩手|95,536|421,219|8,245|3|87,123|168
宮城|233,767|844,093|22,492|11|204,624|322
秋田|85,662|73,249|18,216|2|67,279|167
山形|88,395|241,680|12,986|0|75,255|164
福島|161,488|1,098,783|17,723|4|143,521|244
茨城|329,155|1,654,084|20,792|7|301,424|609
栃木|201,511|917,662|18,630|4|182,432|449
群馬|207,556|845,391|20,805|5|189,855|431
埼玉|1,093,647|3,761,258|51,916|28|1,039,551|2,180
千葉|870,313|2,716,215|50,497|15|787,542|2,322
東京|2,981,975|8,991,841|132,135|33|2,844,370|5,470
神奈川|1,386,009|4,401,653|67,362|40|1,315,814|2,833
新潟|206,080|899,454|17,293|5|188,661|126
富山|112,926|352,074|13,992|3|98,780|154
石川|144,558|718,445|14,136|1|130,144|255
福井|100,861|434,207|8,535|3|92,236|90
山梨|87,754|486,368|5,530|1|82,108|128
長野|181,692|970,233|14,932|2|164,939|303
岐阜|262,951|1,214,494|21,615|2|239,748|514
静岡|441,913|1,702,623|30,634|4|385,992|683
愛知|1,242,595|3,848,940|100,245|27|1,139,673|2,677
三重|225,099|757,712|19,621|3|209,197|467
滋賀|209,338|904,988|16,193|5|192,853|292
京都|440,953|1,153,388|44,060|70|394,297|943
大阪|1,958,871|9,276,015|135,347|63|1,817,393|6,131
兵庫|930,023|2,341,544|61,156|34|866,194|2,674
奈良|207,330|703,082|52,844|9|153,998|488
和歌山|120,405|298,053|6,895|6|112,979|222
鳥取|56,128|661,558|9,358|3|44,778|65
島根|73,063|335,792|6,976|3|66,002|85
岡山|243,254|785,625|23,510|10|207,028|373
広島|380,081|2,543,993|69,174|5|310,235|672
山口|146,174|780,526|12,306|6|133,519|349
徳島|83,476|276,168|9,463|5|73,926|145
香川|127,265|382,217|11,998|3|115,006|261
愛媛|145,152|584,592|15,390|2|129,485|277
高知|88,937|465,217|13,242|6|75,432|263
福岡|1,012,261|3,766,053|81,318|12|911,992|1,791
佐賀|144,867|377,021|13,087|2|125,171|204
長崎|194,258|693,116|28,054|4|166,009|289
熊本|303,311|507,964|20,914|13|281,825|572
大分|159,841|841,281|9,849|4|149,692|300
宮崎|175,974|234,257|14,041|6|160,994|315
鹿児島|270,030|703,571|23,758|11|244,429|461
沖縄|482,451|1,149,559|19,099|24|462,335|644
その他（その他）|149|0|0|0|149|0
合計|19,512,806|70,406,016|1,449,492|512|17,919,415|41,285
