都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|667,125|2,902,968|49,548|4|615,430|2,446
青森|140,798|369,446|17,561|0|122,955|242
岩手|94,160|418,047|8,902|2|85,091|167
宮城|231,620|822,255|22,636|10|204,624|314
秋田|84,636|72,420|20,161|3|64,321|154
山形|86,625|234,539|14,436|0|72,039|160
福島|158,783|1,088,146|20,915|4|137,624|244
茨城|325,174|1,654,084|20,837|4|301,424|603
栃木|199,653|914,020|19,419|5|179,794|440
群馬|207,556|845,391|24,023|8|184,642|428
埼玉|1,084,092|3,750,021|57,911|31|1,024,034|2,147
千葉|862,434|2,716,215|50,497|15|787,542|2,289
東京|2,965,044|8,967,118|152,248|32|2,807,388|5,408
神奈川|1,375,231|4,389,675|72,096|42|1,300,314|2,821
新潟|202,476|893,862|18,436|6|183,914|126
富山|111,620|337,469|17,712|2|93,760|148
石川|142,252|714,512|16,279|2|125,700|250
福井|99,247|432,387|9,177|3|89,981|89
山梨|86,060|486,368|7,048|1|78,900|127
長野|179,599|965,291|17,252|2|160,543|303
岐阜|260,210|1,214,147|24,497|2|232,885|503
静岡|436,591|1,702,623|37,121|6|385,992|679
愛知|1,226,996|3,808,576|112,253|30|1,112,091|2,652
三重|222,274|757,712|24,009|3|201,940|464
滋賀|207,424|883,704|18,465|5|188,670|289
京都|436,568|1,148,193|48,830|72|384,094|931
大阪|1,947,734|9,239,486|148,889|62|1,792,749|6,096
兵庫|918,252|2,323,836|65,154|32|850,437|2,668
奈良|204,898|699,276|52,140|7|152,273|485
和歌山|119,055|295,562|7,832|6|110,698|216
鳥取|54,684|659,024|9,393|3|44,778|64
島根|72,265|335,792|7,662|2|64,522|81
岡山|239,575|785,625|23,510|10|207,028|370
広島|373,583|2,543,993|74,331|4|298,596|656
山口|144,131|780,526|14,920|6|128,866|345
徳島|82,116|276,129|11,424|5|70,636|139
香川|125,930|380,466|13,948|2|111,725|257
愛媛|143,390|582,535|18,367|2|124,754|269
高知|87,851|445,490|14,800|6|72,798|253
福岡|1,003,763|3,753,811|91,282|12|891,607|1,782
佐賀|143,661|377,021|13,093|2|125,171|203
長崎|190,357|685,835|31,783|3|160,004|281
熊本|298,727|507,964|28,354|15|269,820|553
大分|158,040|841,037|11,244|4|146,505|291
宮崎|173,859|233,359|16,573|8|156,363|305
鹿児島|266,624|699,071|27,628|10|236,255|446
沖縄|480,655|1,147,336|22,219|28|457,391|637
その他（その他）|149|0|0|0|149|0
合計|19,323,547|70,082,363|1,606,815|523|17,598,817|40,821
