都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|693,294|2,957,895|44,198|6|650,156|2,495
青森|147,416|396,560|12,801|0|134,358|257
岩手|99,018|429,691|5,230|2|93,614|174
宮城|240,949|838,530|21,863|6|204,624|341
秋田|89,480|73,249|17,766|1|71,529|185
山形|93,085|243,423|7,858|0|85,062|175
福島|165,349|1,114,921|17,195|1|147,910|244
茨城|337,182|1,654,084|20,559|11|301,424|617
栃木|207,358|925,295|17,889|6|189,011|458
群馬|217,173|858,861|13,702|2|203,018|453
埼玉|1,115,167|3,803,457|35,307|28|1,077,615|2,245
千葉|887,794|2,764,314|37,084|13|834,872|2,385
東京|3,024,909|9,087,687|89,129|32|2,930,195|5,585
神奈川|1,406,892|4,487,314|39,544|36|1,364,472|2,876
新潟|213,062|913,697|10,427|3|202,504|131
富山|117,710|347,441|8,489|0|109,059|162
石川|148,913|725,196|9,088|1|139,542|260
福井|104,127|438,822|4,714|1|99,320|93
山梨|89,739|499,562|4,347|1|85,276|140
長野|188,652|986,062|9,189|0|178,404|320
岐阜|272,518|1,236,466|13,305|4|256,895|530
静岡|454,533|1,740,667|19,645|4|433,267|702
愛知|1,271,991|3,918,580|68,458|27|1,200,799|2,734
三重|232,361|784,998|11,945|2|224,227|487
滋賀|215,833|914,453|12,483|5|203,053|297
京都|450,747|1,166,013|34,787|63|412,778|961
大阪|1,996,128|9,368,481|103,101|55|1,886,810|6,217
兵庫|949,722|2,371,416|50,383|22|896,611|2,749
奈良|212,344|711,332|51,767|6|160,072|505
和歌山|123,827|304,153|4,124|4|119,161|233
鳥取|57,924|674,014|9,320|3|44,778|67
島根|75,972|345,574|6,983|1|68,902|87
岡山|251,757|802,467|17,566|4|228,698|382
広島|391,534|2,573,285|65,673|7|325,171|690
山口|150,756|800,588|6,620|5|143,779|357
徳島|86,437|278,820|4,189|6|82,095|153
香川|130,983|387,696|8,274|3|122,442|267
愛媛|149,677|597,650|7,711|2|141,685|281
高知|92,247|465,217|9,314|5|82,660|273
福岡|1,031,467|3,804,180|59,504|18|951,447|1,842
佐賀|148,786|377,021|13,032|1|125,171|210
長崎|200,519|709,061|22,782|3|177,499|305
熊本|311,512|522,511|19,174|10|291,749|589
大分|164,826|858,658|5,846|3|158,664|316
宮崎|181,980|235,330|8,603|7|172,389|327
鹿児島|278,482|712,316|11,077|8|265,107|486
沖縄|487,989|1,157,282|11,862|15|475,065|662
その他（その他）|149|0|0|0|149|0
合計|19,960,270|71,364,290|1,083,907|443|18,753,088|42,305
