都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|661,849|2,891,432|49,417|5|609,861|2,440
青森|139,469|368,041|17,438|0|121,800|231
岩手|93,235|416,623|9,298|2|83,770|167
宮城|229,984|819,883|22,974|10|204,624|311
秋田|83,618|72,420|20,477|3|62,999|142
山形|85,382|234,539|15,004|0|70,231|157
福島|156,957|1,088,146|21,314|4|135,399|244
茨城|322,887|1,654,084|20,866|5|301,424|597
栃木|198,030|911,253|19,983|7|177,611|436
群馬|207,556|845,391|24,075|8|183,057|424
埼玉|1,078,104|3,741,433|60,742|30|1,015,233|2,129
千葉|857,900|2,716,215|50,497|15|787,542|2,278
東京|2,952,483|8,942,501|156,278|34|2,790,824|5,381
神奈川|1,369,035|4,389,675|73,166|42|1,293,072|2,797
新潟|200,454|893,432|19,173|6|181,155|126
富山|110,571|337,469|18,587|3|91,842|142
石川|140,971|712,716|17,246|2|123,459|243
福井|98,417|431,452|9,610|4|88,720|87
山梨|86,060|486,368|7,048|1|78,900|127
長野|177,931|965,291|17,668|2|157,363|303
岐阜|257,885|1,210,839|26,529|2|228,808|493
静岡|432,885|1,702,623|41,992|5|385,992|674
愛知|1,218,507|3,808,576|120,230|23|1,095,637|2,640
三重|220,406|757,712|27,811|4|196,230|461
滋賀|205,865|881,964|19,194|5|186,382|289
京都|433,848|1,144,988|51,463|62|378,579|924
大阪|1,938,351|9,215,774|160,039|65|1,772,240|6,072
兵庫|912,546|2,315,165|70,249|32|839,645|2,661
奈良|203,658|699,276|52,209|5|150,966|483
和歌山|118,101|293,936|8,260|6|109,316|216
鳥取|54,684|656,607|9,418|3|44,778|57
島根|71,625|335,792|7,865|2|63,679|81
岡山|237,383|785,625|23,510|10|207,028|367
広島|369,549|2,543,993|75,326|6|293,572|651
山口|142,909|780,526|16,198|5|126,369|342
徳島|81,168|275,963|12,496|3|68,604|133
香川|124,741|378,975|14,661|1|109,825|255
愛媛|142,115|581,220|20,188|1|121,660|267
高知|87,062|445,490|15,278|5|71,536|248
福岡|998,083|3,744,915|94,429|9|882,458|1,772
佐賀|142,702|377,021|13,110|2|125,171|199
長崎|190,357|685,835|34,328|3|155,862|277
熊本|298,727|507,964|28,354|15|269,820|553
大分|156,807|838,081|11,946|5|144,570|291
宮崎|172,479|233,043|18,109|8|153,454|298
鹿児島|264,329|696,057|29,919|13|231,636|442
沖縄|478,631|1,145,905|23,168|23|454,370|629
その他（その他）|149|0|0|0|149|0
合計|19,206,445|69,962,229|1,677,140|506|17,427,222|40,537
