都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|644,677|2,854,792|54,539|6|591,861|2,408
青森|134,175|361,427|16,900|0|117,066|209
岩手|89,840|408,830|9,489|0|80,188|163
宮城|223,153|822,346|25,855|11|194,107|300
秋田|80,282|72,420|20,697|2|59,499|86
山形|80,615|232,598|14,532|0|65,943|150
福島|150,630|1,073,643|23,600|3|126,786|244
茨城|314,145|1,654,084|22,434|6|291,131|580
栃木|193,169|902,914|18,946|11|173,796|427
群馬|201,888|833,944|21,257|10|180,210|421
埼玉|1,056,231|3,707,252|62,836|31|991,319|2,076
千葉|840,274|2,656,636|52,955|17|739,804|2,235
東京|2,910,423|8,864,520|165,685|36|2,739,445|5,293
神奈川|1,350,153|4,336,319|19,486|51|1,327,928|2,739
新潟|192,880|882,123|20,761|6|171,997|122
富山|106,004|333,087|19,887|4|85,980|137
石川|135,535|700,773|18,132|5|117,147|233
福井|95,092|427,652|10,582|4|84,430|80
山梨|83,297|471,939|7,560|1|75,644|119
長野|171,602|951,305|17,738|3|151,675|292
岐阜|250,269|1,194,109|26,572|5|219,123|476
静岡|418,988|1,680,912|46,499|9|368,082|645
愛知|1,182,011|3,745,216|123,398|27|1,056,024|2,589
三重|212,183|727,705|34,541|3|181,183|451
滋賀|200,186|873,070|20,079|3|179,821|286
京都|422,731|1,131,494|54,008|62|365,006|899
大阪|1,904,044|9,132,197|187,926|82|1,710,129|5,989
兵庫|889,889|2,283,780|76,611|45|810,666|2,617
奈良|198,238|692,123|52,986|10|144,776|476
和歌山|114,647|288,255|10,305|7|103,827|206
鳥取|52,812|636,011|9,303|3|43,031|53
島根|69,368|330,237|8,442|2|60,847|79
岡山|228,974|766,523|28,317|16|180,667|358
広島|356,811|2,464,871|76,407|9|279,766|638
山口|137,630|754,926|18,573|4|118,731|326
徳島|76,938|274,195|14,303|4|62,605|122
香川|120,601|372,867|15,773|0|104,583|245
愛媛|137,151|566,244|22,394|2|114,496|261
高知|83,565|445,490|15,912|9|67,419|234
福岡|977,375|3,710,131|102,232|9|853,570|1,719
佐賀|139,549|377,021|14,320|4|119,462|196
長崎|183,028|671,484|39,865|2|143,076|259
熊本|291,595|487,444|38,008|15|253,048|539
大分|152,669|823,319|14,442|7|137,954|273
宮崎|167,043|231,605|20,300|7|145,856|278
鹿児島|255,869|684,419|31,761|11|219,864|420
沖縄|472,093|1,134,265|26,078|27|444,968|608
その他（その他）|149|0|0|0|149|0
合計|18,750,471|69,028,517|1,753,226|591|16,854,685|39,556
