都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|717,614|3,018,719|24,653|2|691,837|2,535
青森|152,476|408,785|5,937|4|146,260|279
岩手|103,466|443,711|3,313|0|99,967|186
宮城|249,551|856,644|21,542|3|204,624|375
秋田|94,431|74,027|11,420|2|82,801|210
山形|99,436|252,552|6,680|0|90,443|183
福島|177,990|1,136,645|7,219|1|170,516|255
茨城|349,424|1,654,084|20,318|8|301,424|650
栃木|215,626|940,387|8,114|5|207,036|476
群馬|225,648|876,277|9,749|2|216,481|459
埼玉|1,152,259|3,870,443|27,853|16|1,122,079|2,327
千葉|916,758|2,807,095|20,584|11|878,513|2,489
東京|3,093,228|9,221,102|78,647|24|3,008,853|5,728
神奈川|1,445,167|4,584,903|31,611|27|1,410,627|2,929
新潟|222,962|932,202|8,346|0|214,468|148
富山|123,599|354,445|5,961|0|117,468|170
石川|155,231|750,470|6,055|1|148,878|275
福井|109,382|446,402|2,896|0|106,390|96
山梨|92,566|511,528|3,293|0|89,143|145
長野|197,759|1,004,801|6,943|2|190,013|327
岐阜|283,881|1,269,997|8,950|0|273,290|551
静岡|475,613|1,777,215|15,958|6|455,112|727
愛知|1,319,673|3,999,862|49,977|11|1,266,890|2,806
三重|242,969|805,760|10,288|2|226,621|508
滋賀|224,746|935,550|8,229|2|216,210|307
京都|465,090|1,183,335|26,534|48|435,913|1,006
大阪|2,047,265|9,526,622|68,405|41|1,972,528|6,332
兵庫|980,742|2,423,036|23,150|14|954,787|2,819
奈良|219,849|723,198|44,866|3|174,465|518
和歌山|128,476|312,779|3,093|5|124,836|238
鳥取|60,144|692,451|9,289|0|44,778|69
島根|79,153|353,250|3,113|1|75,952|88
岡山|263,335|816,883|8,998|6|249,098|391
広島|410,974|2,647,378|27,316|7|382,930|728
山口|157,206|815,518|4,530|0|152,303|373
徳島|90,013|284,239|2,552|5|87,309|165
香川|137,041|397,101|5,114|3|131,645|282
愛媛|156,219|613,412|5,713|2|150,220|286
高知|96,632|477,533|6,913|6|89,432|287
福岡|1,056,109|3,863,028|35,654|11|1,001,760|1,900
佐賀|153,192|377,021|12,938|1|125,171|216
長崎|206,350|729,648|22,307|2|177,499|318
熊本|319,920|532,642|8,908|7|310,403|609
大分|170,485|877,810|3,476|1|166,676|333
宮崎|189,245|237,986|5,353|3|182,853|347
鹿児島|291,041|731,583|6,810|3|282,572|520
沖縄|493,800|1,169,127|6,757|13|485,983|698
その他（その他）|149|0|0|0|149|0
合計|20,613,885|72,719,186|746,325|311|19,695,206|43,664
