都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|589,055|2,764,223|61,014|4|524,512|2,302
青森|117,406|340,847|15,238|0|101,996|172
岩手|77,227|386,173|10,544|0|66,546|137
宮城|195,446|775,329|27,175|14|163,224|263
秋田|67,764|70,406|17,252|6|50,426|86
山形|66,142|223,912|14,289|0|51,737|126
福島|128,258|1,022,615|23,503|3|104,513|242
茨城|279,907|1,477,266|22,298|4|257,076|533
栃木|173,880|877,148|23,034|8|150,458|388
群馬|177,643|807,603|38,790|8|141,243|400
埼玉|975,099|3,592,748|79,717|38|893,484|1,898
千葉|776,936|2,600,467|50,080|12|694,809|2,105
東京|2,724,733|8,648,824|215,072|36|2,504,622|5,040
神奈川|1,264,216|4,163,808|36,446|53|1,225,189|2,581
新潟|164,821|843,834|22,422|4|142,288|111
富山|88,714|315,539|19,118|5|69,474|122
石川|116,588|653,266|17,373|4|98,977|215
福井|82,969|412,825|12,333|3|70,573|63
山梨|71,425|457,423|9,275|0|62,124|99
長野|149,411|913,300|18,120|1|126,234|240
岐阜|218,090|1,149,056|32,052|3|181,073|426
静岡|368,720|1,606,318|45,448|12|312,770|581
愛知|1,054,086|3,532,828|133,567|35|918,101|2,418
三重|182,657|695,640|31,453|1|154,308|404
滋賀|176,741|834,795|22,360|3|154,112|269
京都|382,984|1,083,748|63,157|86|313,909|828
大阪|1,753,840|8,852,990|215,016|91|1,533,037|5,787
兵庫|795,141|2,154,066|80,303|44|712,324|2,521
奈良|174,610|658,948|42,877|13|131,284|449
和歌山|99,434|268,092|12,832|5|86,117|176
鳥取|44,099|597,754|7,518|1|36,145|41
島根|60,845|317,298|9,342|0|51,439|64
岡山|196,847|744,043|22,412|15|158,999|313
広島|300,302|2,342,329|60,135|9|239,575|592
山口|115,092|729,913|19,867|5|94,952|273
徳島|57,882|273,710|12,230|4|45,586|110
香川|103,382|356,491|16,598|2|86,574|210
愛媛|114,795|530,052|25,062|5|89,517|216
高知|67,946|404,831|14,504|9|53,255|187
福岡|879,940|3,566,217|103,800|16|748,302|1,566
佐賀|123,225|377,021|15,355|2|98,318|181
長崎|150,006|617,227|37,376|4|116,280|199
熊本|251,511|461,219|36,708|24|214,337|466
大分|133,478|791,169|17,795|6|115,448|235
宮崎|144,062|224,306|24,785|4|118,527|231
鹿児島|219,074|635,616|33,862|10|180,119|346
沖縄|443,843|1,105,268|32,797|20|410,046|560
その他（その他）|149|0|0|0|149|0
合計|16,900,421|66,258,501|1,902,304|632|14,854,108|36,772
