都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|462,205|2,572,902|45,464|4|414,170|2,140
青森|89,757|303,759|12,692|0|76,924|141
岩手|55,513|348,595|7,954|0|47,449|110
宮城|135,514|706,758|25,540|11|108,428|213
秋田|45,910|67,330|9,355|1|36,476|79
山形|42,588|213,957|7,655|0|34,839|104
福島|88,469|950,188|13,427|1|74,810|232
茨城|211,813|1,477,266|19,319|2|192,013|481
栃木|129,005|829,138|22,074|7|106,627|304
群馬|134,947|747,331|25,758|4|108,845|344
埼玉|773,946|3,297,068|104,420|32|667,839|1,687
千葉|629,513|2,398,585|56,538|9|512,696|1,873
東京|2,188,691|8,079,207|279,748|29|1,904,271|4,672
神奈川|1,040,741|3,716,539|105,815|45|932,605|2,321
新潟|110,122|770,842|17,627|7|92,402|93
富山|59,708|291,425|11,935|3|47,670|103
石川|84,221|583,176|13,027|0|70,970|201
福井|58,863|381,916|10,356|2|48,453|54
山梨|50,301|415,382|7,489|0|42,825|75
長野|106,515|840,180|11,738|1|91,779|209
岐阜|151,814|1,043,934|23,854|2|126,238|372
静岡|262,246|1,482,602|32,769|5|228,082|450
愛知|793,615|3,213,078|118,110|24|673,340|2,165
三重|126,847|617,937|20,078|0|108,995|340
滋賀|130,177|758,739|18,213|2|111,731|233
京都|292,681|968,069|49,664|99|238,222|770
大阪|1,378,416|8,274,661|205,786|56|1,167,276|5,354
兵庫|604,050|1,900,054|83,835|25|517,897|2,327
奈良|131,207|609,892|23,660|8|107,141|406
和歌山|67,022|223,331|7,176|6|59,417|137
鳥取|28,618|515,342|5,707|0|22,632|24
島根|43,149|286,178|6,934|4|36,172|43
岡山|138,777|677,834|10,686|2|113,178|259
広島|213,386|2,098,726|21,226|6|191,643|517
山口|73,905|661,736|12,037|1|61,669|199
徳島|35,930|254,917|5,202|3|30,668|92
香川|70,954|324,666|9,531|1|61,273|150
愛媛|72,268|454,949|12,351|3|59,765|152
高知|43,921|370,021|6,348|8|37,453|120
福岡|662,662|3,238,581|96,451|11|548,001|1,367
佐賀|88,846|340,890|13,132|0|71,526|135
長崎|99,664|531,655|18,178|1|81,429|150
熊本|189,129|392,764|27,240|10|161,509|380
大分|93,133|711,080|12,999|0|79,944|190
宮崎|94,840|209,656|17,100|1|77,371|172
鹿児島|148,978|535,954|24,666|1|122,279|239
沖縄|362,066|1,038,565|39,156|27|322,239|507
その他（その他）|149|0|0|0|149|0
合計|12,896,792|60,727,355|1,730,020|464|11,029,330|32,686
