都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|572,833|2,738,462|56,737|6|511,566|2,287
青森|113,004|335,999|13,133|0|99,705|166
岩手|73,927|380,109|9,847|0|63,945|135
宮城|186,095|769,184|25,905|13|155,887|261
秋田|64,196|70,396|14,667|6|49,443|86
山形|62,165|222,935|12,756|0|49,297|122
福島|121,188|1,015,707|19,268|1|101,680|240
茨城|270,274|1,477,266|19,520|6|250,227|527
栃木|168,419|870,746|21,868|6|146,177|374
群馬|174,984|805,246|41,411|7|133,176|397
埼玉|952,277|3,563,836|76,631|35|873,782|1,864
千葉|760,541|2,600,467|50,080|12|694,809|2,072
東京|2,671,780|8,599,137|222,254|33|2,444,537|4,989
神奈川|1,243,324|4,143,581|46,432|65|1,194,355|2,537
新潟|156,813|838,510|20,203|5|136,504|106
富山|83,145|313,793|15,567|5|67,460|118
石川|111,060|644,598|16,324|5|94,500|213
福井|79,364|408,654|11,333|3|67,969|62
山梨|69,763|443,620|8,732|0|61,006|94
長野|142,428|909,122|17,438|1|121,054|240
岐阜|209,350|1,135,164|29,248|3|175,141|420
静岡|354,286|1,598,406|42,473|11|307,383|566
愛知|1,018,377|3,523,332|126,261|36|889,740|2,376
三重|174,183|669,849|27,295|2|149,867|395
滋賀|170,588|829,855|21,710|3|148,615|263
京都|372,716|1,073,109|63,516|81|303,399|819
大阪|1,707,958|8,783,568|208,981|84|1,493,248|5,729
兵庫|770,616|2,121,391|93,500|42|674,632|2,498
奈良|168,262|658,948|38,988|14|128,832|442
和歌山|94,719|262,435|11,432|4|82,804|174
鳥取|41,961|582,568|7,509|1|34,023|40
島根|58,530|317,298|8,764|1|49,702|64
岡山|188,223|723,970|20,921|11|140,502|307
広島|284,770|2,342,329|49,824|9|234,364|582
山口|108,798|729,913|19,004|4|89,535|259
徳島|53,390|268,832|10,000|4|43,344|106
香川|98,303|351,948|14,709|4|83,388|206
愛媛|108,312|514,628|23,896|5|84,208|208
高知|64,404|404,831|13,087|11|51,142|175
福岡|849,233|3,523,927|95,365|18|728,552|1,541
佐賀|118,215|374,436|13,460|2|94,913|175
長崎|145,395|609,113|40,196|4|105,168|190
熊本|251,511|434,793|36,708|24|214,337|466
大分|128,414|781,178|16,696|6|111,494|224
宮崎|137,730|222,630|24,570|4|112,479|225
鹿児島|209,744|615,923|32,042|11|172,423|331
沖縄|436,146|1,098,900|32,907|19|402,231|555
その他（その他）|149|0|0|0|149|0
合計|16,401,863|65,704,642|1,843,168|627|14,422,694|36,226
