都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|719,799|3,023,381|23,242|3|695,443|2,536
青森|152,939|409,249|5,876|4|146,782|281
岩手|103,859|444,927|3,182|0|100,491|186
宮城|250,352|882,799|21,542|5|204,624|376
秋田|94,924|74,027|9,607|1|85,107|210
山形|99,856|252,552|6,695|0|90,443|183
福島|178,920|1,136,645|6,819|1|171,841|260
茨城|350,857|1,654,084|20,321|8|301,424|651
栃木|216,361|941,960|7,799|4|208,082|480
群馬|225,648|876,277|9,484|1|217,598|459
埼玉|1,156,446|3,873,245|26,815|19|1,127,303|2,328
千葉|919,607|2,807,095|20,584|11|878,513|2,495
東京|3,101,305|9,221,102|79,681|25|3,015,890|5,734
神奈川|1,449,623|4,584,903|31,434|25|1,415,259|2,930
新潟|224,047|932,383|8,329|0|215,570|148
富山|124,088|354,445|5,556|0|118,362|170
石川|155,904|752,033|5,731|1|149,874|276
福井|109,910|447,103|2,869|0|106,945|96
山梨|92,566|511,528|3,293|0|89,143|145
長野|198,685|1,004,801|6,937|2|190,622|327
岐阜|284,771|1,269,997|8,477|0|274,849|555
静岡|477,669|1,777,215|15,943|7|455,112|728
愛知|1,324,831|3,999,862|48,790|11|1,273,227|2,814
三重|244,283|805,760|10,292|2|226,621|509
滋賀|225,646|936,385|8,099|1|217,240|307
京都|466,577|1,187,730|25,155|39|438,929|1,011
大阪|2,051,549|9,546,105|65,516|41|1,979,687|6,346
兵庫|983,852|2,428,728|22,889|13|958,144|2,824
奈良|220,546|723,198|41,853|4|178,175|518
和歌山|128,910|313,593|2,850|5|125,513|238
鳥取|60,351|693,341|9,290|0|44,778|70
島根|79,413|353,250|3,083|1|76,242|88
岡山|264,559|816,883|8,998|6|249,098|391
広島|412,851|2,647,378|27,009|6|385,110|732
山口|157,799|815,518|4,389|0|153,036|374
徳島|90,361|284,906|2,436|5|87,765|165
香川|137,724|397,842|5,012|3|132,430|282
愛媛|156,780|614,004|5,466|2|151,028|286
高知|96,943|477,533|6,567|6|90,089|287
福岡|1,058,517|3,868,793|34,477|11|1,005,494|1,900
佐賀|153,535|377,021|12,930|1|125,171|217
長崎|206,859|729,648|22,269|2|177,499|318
熊本|319,920|532,642|8,908|7|310,403|609
大分|170,970|877,963|3,255|1|167,376|339
宮崎|189,946|238,091|5,556|3|183,350|348
鹿児島|292,138|733,137|6,575|2|283,945|521
沖縄|494,334|1,170,044|6,286|11|487,054|698
その他（その他）|149|0|0|0|149|0
合計|20,677,479|72,801,106|728,166|300|19,766,830|43,746
