都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|702,487|2,975,088|34,875|3|668,891|2,512
青森|149,563|402,131|9,900|0|139,400|263
岩手|100,680|434,135|4,326|3|96,178|176
宮城|243,566|867,039|21,670|7|204,624|355
秋田|90,793|74,027|14,962|1|75,638|193
山形|95,304|243,982|7,124|0|88,012|178
福島|172,069|1,123,776|9,409|0|162,409|251
茨城|341,911|1,654,084|20,430|9|301,424|627
栃木|209,992|930,755|12,544|4|196,984|464
群馬|220,174|866,265|11,168|2|208,551|455
埼玉|1,128,324|3,822,249|28,469|16|1,097,587|2,268
千葉|898,403|2,764,314|37,084|13|834,872|2,420
東京|3,048,301|9,128,385|86,261|32|2,956,385|5,655
神奈川|1,422,013|4,499,028|34,466|35|1,384,647|2,900
新潟|216,835|918,417|9,184|3|207,515|136
富山|119,761|349,663|7,323|0|112,272|166
石川|151,488|732,462|7,734|1|143,467|264
福井|106,269|441,265|3,936|0|102,239|94
山梨|90,965|499,562|3,639|0|87,199|143
長野|191,520|990,019|7,844|1|182,105|320
岐阜|276,238|1,241,112|11,626|6|263,290|539
静岡|462,629|1,747,315|17,398|4|443,390|709
愛知|1,290,094|3,949,449|59,626|22|1,227,711|2,757
三重|235,919|784,998|10,338|3|226,621|492
滋賀|218,929|919,758|9,729|6|208,900|300
京都|455,996|1,172,739|31,150|60|422,600|974
大阪|2,011,964|9,421,715|88,914|60|1,916,805|6,245
兵庫|962,636|2,392,213|28,034|19|931,839|2,774
奈良|215,400|715,408|51,275|3|163,615|510
和歌山|125,506|307,289|3,432|5|121,529|236
鳥取|58,693|678,227|9,313|3|44,778|67
島根|77,066|345,574|4,904|1|72,074|88
岡山|256,085|802,467|17,566|4|228,698|386
広島|399,198|2,622,931|48,550|7|349,946|702
山口|152,961|800,588|5,394|2|147,204|363
徳島|87,794|280,297|3,401|5|84,248|159
香川|132,796|390,531|4,975|5|127,549|272
愛媛|151,853|599,902|6,859|2|144,712|282
高知|93,691|477,533|8,128|6|85,284|279
福岡|1,041,353|3,821,093|48,108|13|974,826|1,858
佐賀|150,317|377,021|12,991|1|125,171|211
長崎|202,585|717,169|22,623|3|177,499|311
熊本|314,690|522,511|10,735|9|303,354|601
大分|166,966|861,552|4,400|3|162,242|324
宮崎|184,659|236,593|7,516|7|176,127|334
鹿児島|283,209|720,885|8,710|7|271,324|498
沖縄|490,044|1,161,525|8,567|16|480,421|675
その他（その他）|149|0|0|0|149|0
合計|20,199,838|71,785,041|916,610|412|19,132,305|42,786
