都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|721,462|3,025,832|21,820|3|698,234|2,541
青森|153,240|409,851|5,164|4|147,794|282
岩手|104,154|445,498|2,988|0|100,980|186
宮城|250,805|877,856|21,560|5|204,624|376
秋田|95,164|74,027|9,212|1|85,740|212
山形|100,223|252,552|6,700|0|90,443|183
福島|179,643|1,136,645|5,965|1|173,418|260
茨城|352,048|1,654,084|20,316|7|301,424|657
栃木|216,765|943,117|7,061|5|209,223|481
群馬|225,648|876,277|8,885|1|218,734|459
埼玉|1,159,381|3,874,890|23,315|19|1,133,738|2,328
千葉|921,731|2,807,095|20,584|11|878,513|2,499
東京|3,105,374|9,221,102|74,464|25|3,025,171|5,739
神奈川|1,452,565|4,584,903|30,336|27|1,419,299|2,930
新潟|224,804|932,547|7,876|0|216,780|148
富山|124,318|354,445|4,973|0|119,175|170
石川|156,379|752,916|5,425|1|150,655|276
福井|110,336|447,590|2,902|0|107,338|96
山梨|92,566|511,528|3,293|0|89,143|145
長野|199,103|1,004,801|5,595|2|192,491|327
岐阜|285,197|1,270,056|7,982|0|276,231|558
静岡|478,395|1,777,215|15,934|7|455,112|731
愛知|1,328,605|3,999,862|47,226|11|1,278,560|2,819
三重|245,228|805,760|10,294|2|226,621|511
滋賀|226,168|940,211|7,518|1|218,343|307
京都|467,479|1,189,172|23,257|39|442,309|1,016
大阪|2,053,869|9,555,130|62,163|41|1,985,350|6,356
兵庫|986,779|2,434,011|22,310|13|961,645|2,826
奈良|221,328|723,198|40,858|4|179,952|518
和歌山|129,331|314,361|2,615|1|126,169|238
鳥取|60,495|694,266|9,277|0|44,778|71
島根|79,584|353,250|2,665|1|76,831|88
岡山|265,468|816,883|8,998|6|249,098|392
広島|414,749|2,647,378|25,019|7|388,994|736
山口|158,177|815,518|4,078|1|153,723|376
徳島|90,553|284,983|2,143|5|88,252|165
香川|138,020|398,059|4,496|2|133,242|282
愛媛|157,085|614,341|5,347|2|151,451|287
高知|97,133|477,533|6,199|6|90,645|289
福岡|1,059,991|3,871,459|33,571|12|1,008,765|1,900
佐賀|153,732|377,021|12,922|1|125,171|217
長崎|207,161|729,648|22,213|2|177,499|321
熊本|319,920|532,642|8,908|7|310,403|609
大分|171,310|877,984|2,890|1|168,078|342
宮崎|190,259|238,162|4,803|3|184,413|350
鹿児島|292,298|733,297|6,248|2|285,369|521
沖縄|494,628|1,170,617|5,912|10|487,713|698
その他（その他）|149|0|0|0|149|0
合計|20,718,800|72,829,573|694,280|299|19,837,783|43,819
