都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|557,638|2,714,032|58,849|7|498,446|2,264
青森|109,243|331,829|11,525|0|97,555|163
岩手|71,124|376,079|9,166|0|61,828|130
宮城|178,429|758,091|23,506|11|151,720|256
秋田|60,659|70,391|12,690|3|47,884|85
山形|58,574|221,072|10,795|1|47,669|120
福島|115,916|1,004,996|17,895|3|97,781|240
茨城|263,564|1,477,266|19,394|5|243,649|521
栃木|163,130|865,736|20,135|6|142,643|352
群馬|169,767|795,074|44,601|4|124,782|384
埼玉|931,100|3,533,970|73,276|38|855,985|1,839
千葉|746,934|2,547,441|66,042|19|633,518|2,045
東京|2,614,911|8,539,561|212,627|36|2,397,347|4,937
神奈川|1,223,394|4,096,657|55,959|71|1,164,934|2,501
新潟|150,320|825,865|19,294|2|130,920|106
富山|79,047|309,291|13,789|5|65,142|116
石川|107,422|638,345|15,083|5|92,104|212
福井|76,825|405,020|11,002|3|65,762|61
山梨|67,134|443,620|8,301|0|58,817|93
長野|136,558|894,822|15,895|2|118,168|237
岐阜|200,415|1,122,701|25,779|1|170,637|412
静岡|340,958|1,581,793|39,445|14|297,568|553
愛知|988,151|3,487,037|119,738|39|866,080|2,333
三重|165,838|669,849|25,155|2|143,534|384
滋賀|166,097|819,318|23,124|1|142,714|259
京都|362,993|1,062,847|66,821|81|292,767|811
大阪|1,660,832|8,721,109|206,938|74|1,448,219|5,675
兵庫|753,261|2,098,119|90,943|45|659,859|2,469
奈良|163,524|652,816|36,649|13|126,438|437
和歌山|90,978|257,581|11,339|2|79,157|173
鳥取|40,057|574,838|8,035|2|31,599|37
島根|55,677|307,215|7,668|1|47,948|61
岡山|180,334|723,970|20,921|11|140,502|305
広島|277,639|2,235,424|51,584|9|225,491|564
山口|102,391|707,582|16,615|4|85,531|245
徳島|49,726|266,632|8,346|4|41,310|103
香川|93,346|346,974|12,835|3|80,311|200
愛媛|101,485|507,245|19,609|4|81,678|198
高知|60,697|404,831|11,472|9|49,059|166
福岡|825,244|3,488,643|94,932|22|710,951|1,515
佐賀|112,718|368,580|13,251|0|91,973|168
長崎|137,525|594,337|36,376|3|101,110|179
熊本|240,686|434,793|38,356|17|201,876|454
大分|122,393|769,259|14,882|7|107,295|216
宮崎|130,408|221,204|21,343|4|108,440|216
鹿児島|200,172|609,286|29,170|13|167,197|310
沖縄|426,798|1,086,665|31,229|21|394,652|542
その他（その他）|149|0|0|0|149|0
合計|15,932,181|64,969,806|1,802,379|627|13,990,699|35,647
