都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|731,371|3,062,910|18,016|1|710,198|2,569
青森|154,776|413,888|4,620|3|149,871|285
岩手|105,874|451,346|2,523|1|103,160|191
宮城|254,510|891,972|21,478|6|204,624|384
秋田|97,660|74,586|8,893|3|88,548|219
山形|102,611|283,171|6,644|0|90,443|189
福島|182,709|1,149,922|4,609|0|177,840|260
茨城|356,516|1,654,084|20,140|5|301,424|667
栃木|220,079|948,122|5,715|3|213,878|486
群馬|230,958|885,827|8,371|2|223,006|462
埼玉|1,172,679|3,907,694|19,875|11|1,150,454|2,350
千葉|933,046|2,843,675|16,849|7|904,076|2,524
東京|3,132,636|9,288,202|62,190|16|3,064,678|5,768
神奈川|1,466,494|4,650,197|24,882|24|1,438,655|2,957
新潟|228,541|942,873|7,128|0|221,262|151
富山|126,289|359,384|3,916|0|122,202|171
石川|158,432|761,163|4,353|0|153,776|280
福井|111,874|452,103|2,077|0|109,700|97
山梨|94,018|511,528|2,117|0|91,756|152
長野|202,827|1,017,239|4,858|1|197,037|334
岐阜|289,197|1,285,919|5,771|0|282,082|579
静岡|485,298|1,797,604|9,691|5|470,938|737
愛知|1,343,369|4,057,828|35,569|12|1,304,963|2,837
三重|248,911|820,741|10,232|1|226,621|521
滋賀|229,743|953,919|6,122|1|223,310|311
京都|471,772|1,197,256|17,860|33|451,694|1,033
大阪|2,074,315|9,623,328|50,934|34|2,016,988|6,393
兵庫|995,300|2,449,935|15,748|11|976,711|2,841
奈良|223,891|730,971|33,995|2|189,445|521
和歌山|131,202|317,668|2,397|3|128,250|246
鳥取|61,528|703,683|9,238|1|44,778|71
島根|80,909|359,474|2,321|0|78,496|92
岡山|269,567|816,883|6,379|4|259,947|401
広島|420,357|2,686,976|19,060|4|400,555|742
山口|160,642|827,032|3,535|1|156,728|379
徳島|91,729|288,450|1,691|3|89,875|170
香川|140,218|401,333|3,601|2|136,330|287
愛媛|159,658|625,148|4,255|1|155,115|288
高知|98,700|487,995|5,424|5|92,983|293
福岡|1,070,035|3,904,978|29,861|9|1,021,858|1,922
佐賀|155,449|377,021|12,844|1|125,171|218
長崎|209,802|742,894|21,922|2|177,499|322
熊本|325,661|540,288|8,680|6|316,363|618
大分|173,607|888,453|2,796|4|170,465|346
宮崎|193,026|238,530|3,985|1|187,974|354
鹿児島|295,875|738,473|3,355|2|286,186|530
沖縄|497,035|1,176,259|3,534|7|492,527|706
その他（その他）|149|0|0|0|149|0
合計|20,960,845|73,588,925|580,054|238|20,180,589|44,254
