都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|650,646|2,869,330|50,408|5|597,637|2,421
青森|136,064|363,721|17,589|0|118,255|220
岩手|91,141|411,957|9,595|0|81,383|163
宮城|225,805|833,539|25,346|12|197,505|302
秋田|81,613|72,420|21,795|3|59,732|86
山形|82,297|233,709|16,198|0|65,956|153
福島|152,904|1,079,268|22,332|4|130,328|244
茨城|317,489|1,654,084|22,409|6|294,494|586
栃木|194,931|906,991|20,053|11|174,449|429
群馬|204,066|841,743|23,172|8|180,473|421
埼玉|1,064,407|3,718,557|64,509|31|997,805|2,093
千葉|846,649|2,716,215|50,497|15|787,542|2,248
東京|2,925,619|8,890,165|161,143|33|2,759,155|5,321
神奈川|1,356,519|4,354,013|18,487|49|1,335,280|2,752
新潟|195,380|886,675|20,347|5|174,911|122
富山|107,950|335,016|19,180|4|88,631|139
石川|137,620|704,452|17,887|3|119,437|237
福井|96,331|429,084|10,399|4|85,849|83
山梨|84,382|471,939|7,448|1|76,835|120
長野|174,049|961,005|18,072|2|152,363|292
岐阜|253,237|1,201,070|27,111|5|222,676|482
静岡|423,704|1,687,812|44,634|9|375,199|659
愛知|1,195,796|3,764,262|119,976|23|1,073,217|2,603
三重|215,542|727,705|34,625|3|184,489|454
滋賀|202,219|876,494|19,878|3|182,054|287
京都|427,273|1,136,116|54,461|60|367,371|908
大阪|1,917,722|9,161,625|179,706|80|1,731,998|6,018
兵庫|896,895|2,293,159|72,216|40|822,062|2,634
奈良|200,331|695,733|52,780|6|147,074|477
和歌山|116,259|290,480|10,179|6|105,560|211
鳥取|53,489|647,869|9,446|3|43,559|54
島根|70,288|330,237|8,277|2|61,932|79
岡山|231,852|766,523|28,317|16|180,667|361
広島|359,699|2,464,871|75,316|7|283,738|645
山口|139,663|780,526|18,329|5|120,999|335
徳島|78,676|274,195|14,050|4|64,582|126
香川|122,383|375,601|15,608|0|106,524|251
愛媛|139,128|568,356|21,633|2|117,232|263
高知|84,902|445,490|15,993|7|68,668|241
福岡|984,382|3,722,591|99,903|6|862,700|1,736
佐賀|140,772|377,021|14,008|4|123,376|196
長崎|185,918|676,532|38,049|1|147,740|270
熊本|294,376|487,444|35,960|14|257,873|543
大分|154,202|829,788|13,778|6|140,145|279
宮崎|169,330|232,018|21,132|8|147,299|283
鹿児島|259,094|688,928|31,360|10|224,079|430
沖縄|474,639|1,140,467|25,630|29|447,876|615
その他（その他）|149|0|0|0|149|0
合計|18,917,782|69,376,796|1,719,221|555|17,088,858|39,872
