都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|712,046|3,001,140|26,762|2|683,532|2,524
青森|151,413|407,293|7,225|4|143,917|271
岩手|102,519|440,839|3,657|2|98,678|184
宮城|247,622|877,867|21,514|4|204,624|368
秋田|93,137|74,027|12,343|2|80,595|199
山形|98,200|252,235|6,710|0|90,443|180
福島|176,012|1,133,467|8,558|0|167,199|255
茨城|346,519|1,654,084|20,343|10|301,424|639
栃木|213,840|936,508|9,015|4|204,352|473
群馬|224,593|874,699|9,515|2|214,621|457
埼玉|1,143,141|3,852,232|28,498|21|1,112,329|2,314
千葉|909,819|2,807,095|20,584|11|878,513|2,465
東京|3,076,574|9,188,164|78,466|26|2,992,403|5,705
神奈川|1,435,471|4,568,357|33,270|25|1,399,278|2,923
新潟|220,639|929,081|8,400|1|212,096|143
富山|122,432|353,385|6,956|0|115,307|169
石川|153,852|743,228|6,622|1|146,934|273
福井|108,267|445,089|3,109|0|105,063|95
山梨|92,201|499,562|3,444|0|88,628|145
長野|195,686|1,002,908|6,548|2|187,843|327
岐阜|281,520|1,260,356|9,655|4|269,928|544
静岡|471,542|1,772,491|16,674|5|452,044|726
愛知|1,308,518|3,986,330|53,574|9|1,252,159|2,785
三重|240,446|784,998|10,301|2|226,621|502
滋賀|222,491|928,504|8,596|2|213,589|306
京都|461,869|1,181,281|28,725|48|430,218|994
大阪|2,035,798|9,484,374|75,470|40|1,954,029|6,299
兵庫|973,338|2,410,074|26,984|16|943,568|2,793
奈良|218,352|721,679|50,899|2|166,937|516
和歌山|127,499|311,055|3,296|4|123,658|236
鳥取|59,650|684,921|9,318|2|44,778|68
島根|78,499|353,250|3,645|1|74,766|88
岡山|260,774|802,467|17,566|4|228,698|388
広島|405,703|2,647,378|31,599|6|373,389|715
山口|155,759|815,518|4,880|2|150,510|369
徳島|89,374|282,336|2,883|5|86,341|163
香川|135,576|394,503|5,076|3|130,223|277
愛媛|154,751|602,905|6,136|3|148,331|284
高知|95,778|477,533|7,743|6|87,749|286
福岡|1,050,706|3,845,127|40,870|14|990,341|1,884
佐賀|152,285|377,021|12,972|0|125,171|214
長崎|205,141|727,338|22,425|2|177,499|314
熊本|318,812|522,511|9,704|5|308,500|608
大分|169,318|872,675|3,773|3|165,214|331
宮崎|187,655|237,489|5,918|5|180,704|341
鹿児島|288,658|728,199|6,778|1|279,707|509
沖縄|492,452|1,166,560|7,415|15|483,949|690
その他（その他）|149|0|0|0|149|0
合計|20,466,396|72,420,133|804,414|326|19,496,549|43,339
