都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|715,042|3,010,301|25,990|2|687,860|2,529
青森|151,962|408,011|6,228|5|145,461|273
岩手|102,999|442,275|3,474|0|99,339|186
宮城|248,552|854,655|21,500|2|204,624|373
秋田|93,857|74,027|11,504|1|82,144|209
山形|98,836|252,388|6,698|0|90,443|181
福島|177,062|1,136,645|7,787|1|169,020|255
茨城|348,052|1,654,084|20,347|6|301,424|645
栃木|214,664|940,083|8,632|4|205,558|474
群馬|225,648|876,277|9,830|2|215,361|457
埼玉|1,147,924|3,861,806|28,320|15|1,117,284|2,320
千葉|913,453|2,807,095|20,584|11|878,513|2,479
東京|3,085,210|9,207,424|78,305|26|3,001,187|5,718
神奈川|1,440,254|4,584,903|32,738|26|1,404,588|2,928
新潟|221,844|931,891|8,353|0|213,343|148
富山|123,025|354,445|6,430|0|116,426|169
石川|154,573|749,021|6,425|1|147,852|273
福井|108,854|445,780|2,948|0|105,810|96
山梨|92,566|511,528|3,293|0|89,143|145
長野|196,746|1,004,801|6,904|2|189,135|327
岐阜|282,791|1,264,474|9,329|2|271,642|549
静岡|473,336|1,777,215|16,329|5|455,112|727
愛知|1,314,429|3,999,862|52,634|9|1,258,998|2,797
三重|241,853|784,998|10,309|2|226,621|506
滋賀|223,787|933,727|8,472|2|215,009|306
京都|463,448|1,183,335|27,852|44|433,023|1,001
大阪|2,041,484|9,506,518|71,066|38|1,964,103|6,315
兵庫|977,492|2,417,349|25,412|16|949,287|2,805
奈良|219,149|723,198|47,930|2|170,702|517
和歌山|128,011|311,971|3,004|3|124,460|238
鳥取|59,911|691,363|9,299|2|44,778|68
島根|78,815|353,250|3,341|1|75,386|88
岡山|262,182|816,883|8,998|6|249,098|388
広島|408,608|2,647,378|27,575|8|380,310|723
山口|156,527|815,518|4,843|3|151,313|371
徳島|89,709|283,037|2,709|5|86,846|164
香川|136,396|395,769|5,090|3|131,026|280
愛媛|155,469|612,642|5,928|2|149,255|286
高知|96,224|477,533|7,273|6|88,664|287
福岡|1,053,515|3,854,860|38,521|15|996,139|1,897
佐賀|152,685|377,021|12,950|1|125,171|215
長崎|205,759|729,648|22,369|2|177,499|317
熊本|319,920|532,642|8,908|7|310,403|609
大分|169,876|875,381|3,567|1|165,976|333
宮崎|188,477|237,756|5,626|4|181,817|342
鹿児島|289,902|729,933|6,638|2|281,507|513
沖縄|493,138|1,167,985|7,236|14|484,789|698
その他（その他）|149|0|0|0|149|0
合計|20,544,165|72,608,686|769,498|309|19,613,598|43,525
