都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|631,965|2,834,042|60,983|5|570,436|2,378
青森|129,998|355,579|17,889|0|111,908|201
岩手|87,601|403,312|11,954|0|75,494|153
宮城|216,918|801,204|31,245|10|182,822|290
秋田|77,499|71,441|20,137|4|57,276|86
山形|77,192|229,302|16,997|0|60,062|143
福島|145,859|1,057,517|27,717|3|117,900|242
茨城|306,601|1,477,266|26,349|5|279,688|564
栃木|188,983|899,139|24,118|10|164,446|419
群馬|194,565|825,569|28,659|5|167,681|413
埼玉|1,038,383|3,678,978|75,850|32|960,508|2,025
千葉|825,528|2,656,636|52,955|17|739,804|2,203
東京|2,870,490|8,811,840|192,175|38|2,673,101|5,214
神奈川|1,328,641|4,285,547|23,245|53|1,302,685|2,711
新潟|186,900|870,568|24,334|6|162,447|119
富山|102,465|327,101|23,248|5|79,085|132
石川|131,400|689,444|20,342|6|110,812|223
福井|92,405|424,182|12,512|3|79,820|73
山梨|80,181|471,939|9,637|1|70,459|114
長野|166,312|942,812|20,753|1|141,340|265
岐阜|242,309|1,184,195|30,902|8|207,921|466
静岡|407,188|1,658,352|49,955|8|347,983|628
愛知|1,156,037|3,673,662|145,594|31|1,007,901|2,542
三重|205,995|727,705|40,033|5|169,406|444
滋賀|194,774|865,493|22,705|3|171,785|284
京都|413,566|1,121,014|60,304|72|348,683|876
大阪|1,870,792|9,059,842|202,918|88|1,661,933|5,941
兵庫|867,715|2,252,247|83,257|50|781,873|2,593
奈良|193,686|683,451|51,971|11|141,252|463
和歌山|111,334|283,326|11,993|8|98,836|196
鳥取|51,059|628,916|8,771|2|41,825|48
島根|67,236|330,237|9,514|1|57,649|73
岡山|221,495|766,523|28,317|16|180,667|346
広島|343,249|2,441,917|79,892|9|262,731|626
山口|132,758|754,926|22,270|4|110,175|313
徳島|72,921|272,010|17,056|4|55,827|118
香川|116,664|369,845|18,019|1|98,409|236
愛媛|132,020|560,703|27,242|3|104,532|246
高知|80,132|426,104|17,036|14|62,877|219
福岡|956,531|3,678,215|112,908|12|819,969|1,674
佐賀|135,744|377,021|17,316|3|112,427|190
長崎|173,761|654,630|42,255|1|134,544|238
熊本|281,586|461,219|33,576|24|247,497|513
大分|148,330|818,228|16,563|8|131,503|264
宮崎|162,139|229,678|24,487|4|136,786|262
鹿児島|247,231|672,736|36,443|9|206,730|402
沖縄|465,534|1,126,506|29,115|24|435,332|593
その他（その他）|149|0|0|0|149|0
合計|18,331,821|68,192,119|1,961,511|627|16,244,976|38,762
