都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|534,520|2,684,444|58,313|8|472,552|2,225
青森|104,698|323,646|13,644|0|90,901|153
岩手|67,131|370,919|9,364|0|57,642|125
宮城|168,373|749,558|28,785|10|137,304|240
秋田|56,832|69,427|13,528|3|43,221|83
山形|54,348|219,141|10,828|1|43,417|113
福島|104,996|983,888|16,626|4|88,135|235
茨城|253,810|1,477,266|24,058|8|229,245|507
栃木|156,382|856,344|27,661|7|128,388|333
群馬|157,580|783,045|46,580|2|115,007|367
埼玉|901,595|3,469,093|92,518|40|807,287|1,790
千葉|726,645|2,547,441|66,042|19|633,518|2,000
東京|2,521,752|8,455,534|256,705|42|2,260,191|4,856
神奈川|1,186,509|4,000,427|86,096|70|1,097,952|2,461
新潟|142,606|813,734|22,703|2|119,800|103
富山|74,094|305,272|14,297|4|59,684|113
石川|101,711|620,674|15,194|1|86,285|209
福井|72,976|400,309|11,862|3|61,054|60
山梨|63,378|443,620|9,207|0|54,163|89
長野|129,332|887,705|16,521|2|109,452|227
岐阜|188,093|1,104,633|28,782|3|157,465|397
静岡|324,966|1,563,542|47,271|12|275,276|522
愛知|952,322|3,422,292|141,689|51|808,335|2,298
三重|157,972|669,849|27,014|1|133,641|375
滋賀|157,729|809,158|25,892|2|131,585|252
京都|349,396|1,044,516|68,578|82|274,418|794
大阪|1,600,385|8,633,862|219,724|70|1,375,077|5,584
兵庫|718,559|2,051,673|89,943|41|626,209|2,422
奈良|155,000|643,902|35,868|10|118,703|429
和歌山|85,362|249,985|12,370|3|72,518|165
鳥取|37,157|564,521|7,790|1|28,955|30
島根|52,655|307,215|8,236|0|44,361|58
岡山|170,522|723,970|20,921|11|140,502|293
広島|259,835|2,221,351|45,187|12|214,103|545
山口|94,647|707,582|16,413|3|78,010|224
徳島|45,919|266,727|8,108|5|37,741|96
香川|87,190|343,510|13,291|2|73,714|185
愛媛|93,264|498,199|18,753|4|74,324|187
高知|56,110|386,929|10,759|12|45,201|150
福岡|790,293|3,434,856|102,235|24|667,171|1,466
佐賀|106,578|361,898|14,044|0|85,677|156
長崎|128,054|581,787|31,202|2|96,824|167
熊本|229,616|434,793|30,712|15|198,471|433
大分|114,785|757,715|14,663|2|99,914|208
宮崎|121,626|218,056|21,632|5|99,444|209
鹿児島|186,598|591,022|28,992|4|154,414|284
沖縄|413,597|1,074,771|34,993|22|377,778|537
その他（その他）|149|0|0|0|149|0
合計|15,257,647|64,129,801|1,965,594|625|13,185,178|34,755
