都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|552,098|2,707,073|59,546|6|491,002|2,247
青森|108,197|329,101|12,513|0|95,524|160
岩手|70,155|374,874|9,303|0|60,722|130
宮城|175,482|754,616|26,181|12|147,538|249
秋田|59,480|70,388|12,656|3|46,741|83
山形|57,487|221,072|10,790|1|46,588|119
福島|104,996|983,888|16,626|5|88,135|235
茨城|261,827|1,477,266|20,827|6|240,485|515
栃木|161,363|865,426|26,493|7|134,522|348
群馬|157,580|783,045|45,188|4|121,973|382
埼玉|925,160|3,520,698|79,169|38|844,164|1,827
千葉|742,090|2,547,441|66,042|19|633,518|2,033
東京|2,591,400|8,508,558|232,267|38|2,354,218|4,915
神奈川|1,214,785|4,036,248|64,094|70|1,148,203|2,488
新潟|148,931|821,547|20,661|3|128,167|103
富山|77,766|308,311|13,859|6|63,791|116
石川|106,360|630,674|15,057|4|91,068|212
福井|76,195|404,001|11,448|3|64,687|60
山梨|66,354|443,620|8,619|0|57,719|91
長野|134,778|894,822|16,189|3|116,057|227
岐阜|196,828|1,113,381|26,905|2|167,500|407
静岡|336,554|1,574,630|44,069|13|290,888|540
愛知|982,044|3,468,399|128,005|37|851,709|2,330
三重|164,066|669,849|24,978|1|141,888|382
滋賀|164,389|817,121|24,434|3|139,698|257
京都|360,394|1,059,477|67,065|75|289,138|806
大阪|1,642,006|8,699,978|210,644|65|1,425,731|5,631
兵庫|747,382|2,090,204|92,049|39|652,892|2,459
奈良|161,446|648,902|36,560|11|125,195|436
和歌山|89,591|255,782|11,937|1|77,174|171
鳥取|39,325|570,554|7,725|3|31,180|36
島根|54,887|307,215|8,071|1|46,756|60
岡山|178,532|723,970|20,921|11|140,502|303
広島|273,720|2,221,351|48,863|9|224,300|557
山口|100,774|707,582|17,257|4|83,281|236
徳島|48,806|266,819|8,352|4|40,392|101
香川|91,697|346,231|13,051|3|78,450|196
愛媛|99,365|504,892|19,634|6|79,535|196
高知|59,310|404,831|11,128|10|48,019|163
福岡|817,824|3,475,064|99,133|23|698,798|1,494
佐賀|110,925|366,632|13,814|0|90,414|166
長崎|135,545|589,318|35,004|3|100,515|175
熊本|237,928|434,793|35,871|14|201,611|446
大分|120,480|762,098|14,726|7|105,541|213
宮崎|128,315|220,463|21,694|4|105,997|215
鹿児島|196,677|604,983|29,492|11|164,254|305
沖縄|422,483|1,082,954|30,892|26|390,649|542
その他（その他）|149|0|0|0|149|0
合計|15,753,926|64,670,142|1,869,802|614|13,766,978|35,363
