都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|637,125|2,840,339|59,151|5|577,733|2,386
青森|131,775|357,374|18,178|0|113,393|204
岩手|88,548|406,027|11,249|0|77,142|157
宮城|219,127|814,548|29,939|9|186,687|292
秋田|78,280|71,441|20,095|4|58,099|86
山形|78,532|229,302|16,423|0|61,973|146
福島|147,862|1,057,517|27,689|3|119,931|242
茨城|310,109|1,477,266|26,126|7|283,414|569
栃木|190,398|901,018|24,081|12|165,897|420
群馬|194,565|825,569|25,976|6|172,249|416
埼玉|1,046,117|3,684,593|72,558|29|971,517|2,042
千葉|831,348|2,656,636|52,955|17|739,804|2,214
東京|2,886,324|8,811,840|187,736|40|2,693,351|5,237
神奈川|1,336,177|4,285,547|22,697|51|1,310,756|2,724
新潟|189,551|871,122|23,537|8|165,895|119
富山|103,897|327,101|23,132|6|80,631|134
石川|133,373|692,464|20,658|6|112,466|226
福井|93,601|425,529|12,002|3|81,524|75
山梨|80,181|471,939|9,637|1|70,459|114
長野|168,313|942,812|21,163|4|145,013|265
岐阜|244,788|1,184,225|28,677|8|213,161|471
静岡|411,539|1,658,352|49,942|8|347,983|634
愛知|1,168,347|3,673,662|139,786|27|1,025,994|2,567
三重|208,926|727,705|39,107|4|173,289|446
滋賀|196,735|867,662|22,336|3|174,115|284
京都|417,427|1,125,092|61,661|67|351,020|884
大阪|1,882,394|9,089,893|198,605|87|1,677,838|5,951
兵庫|877,098|2,265,433|81,837|47|792,668|2,605
奈良|195,743|683,451|52,872|11|142,403|468
和歌山|112,720|285,175|11,410|10|100,805|196
鳥取|51,735|630,744|8,790|1|42,479|51
島根|67,826|330,237|8,940|1|58,813|73
岡山|224,565|766,523|28,317|16|180,667|346
広島|347,746|2,441,917|79,436|8|267,679|631
山口|134,679|754,926|21,022|4|113,338|319
徳島|74,846|272,354|16,626|4|58,167|121
香川|118,230|371,158|17,456|1|100,535|239
愛媛|133,946|562,763|25,670|3|108,026|250
高知|81,646|426,104|17,030|14|64,393|223
福岡|964,775|3,688,798|112,470|13|829,624|1,688
佐賀|136,573|377,021|16,718|3|115,010|190
長崎|173,761|654,630|41,917|2|137,472|241
熊本|281,586|461,219|33,576|24|247,497|513
大分|149,831|818,572|15,790|9|133,777|264
宮崎|164,119|230,264|23,199|6|140,046|265
鹿児島|250,298|677,089|35,532|11|211,290|409
沖縄|467,786|1,128,396|28,133|25|438,599|600
その他（その他）|149|0|0|0|149|0
合計|18,485,017|68,303,349|1,921,837|628|16,434,771|38,997
